CountyId,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomeErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
36001,Albany County,308580,149287,159293,5.7,73.0,11.7,0.1,6.4,0.0,238354,62293,1234,12.4,15.0,44.7,17.3,25.1,5.5,7.5,77.0,7.5,5.9,4.6,1.6,3.5,20.4,158961,71.3,24.5,4.2,0.1,5.3
36003,Allegany County,47400,24013,23387,1.5,94.5,1.4,0.3,1.2,0.0,37152,45359,1489,16.5,25.7,31.4,22.2,19.2,10.5,16.6,75.1,7.8,0.6,12.4,1.3,2.8,21.4,20132,73.6,19.3,6.8,0.3,7.3
36005,Bronx County,1455846,685636,770210,55.7,9.5,29.4,0.2,3.6,0.0,849295,36593,389,29.7,41.8,25.0,33.4,23.5,7.1,11.1,23.0,4.4,60.2,7.6,1.8,3.1,44.2,593858,80.0,14.6,5.3,0.1,11.6
36007,Broome County,196124,96409,99715,4.0,84.0,5.1,0.2,4.2,0.0,152197,49064,1113,17.1,23.0,37.7,19.5,24.5,6.9,11.4,80.4,8.4,3.1,3.9,1.1,3.1,19.7,87365,75.3,19.8,4.9,0.0,7.2
36009,Cattaraugus County,78175,38739,39436,2.0,90.8,1.6,2.9,0.9,0.0,59928,45571,1241,16.9,23.8,30.5,19.1,24.3,10.8,15.3,82.4,8.2,0.4,4.7,1.5,3.0,21.9,33732,73.4,20.0,6.3,0.2,7.0
36011,Cayuga County,78319,40132,38187,2.8,90.5,3.9,0.2,0.5,0.0,61737,54664,1603,11.6,17.2,33.8,18.8,22.2,11.0,14.2,82.5,7.3,1.0,4.3,1.4,3.4,23.0,37196,75.6,18.0,6.1,0.3,5.9
36013,Chautauqua County,130846,64652,66194,7.2,87.8,2.4,0.3,0.6,0.0,102307,44304,1256,18.5,28.6,29.9,19.4,22.0,9.8,18.8,81.0,9.2,0.4,4.7,1.1,3.7,18.0,56416,75.2,17.0,7.5,0.3,7.7
36015,Chemung County,86883,43018,43865,3.0,86.5,5.8,0.4,1.5,0.0,67014,51251,1531,15.8,22.8,35.8,20.2,23.2,8.1,12.8,82.4,9.0,2.0,3.2,1.1,2.3,19.6,37726,78.5,16.1,5.3,0.2,5.3
36017,Chenango County,48763,24382,24381,2.1,94.9,0.9,0.3,0.4,0.0,38105,48567,1595,14.5,18.9,32.7,17.6,20.9,10.8,18.0,77.2,11.4,0.4,4.9,1.1,5.0,24.1,21665,69.7,21.6,8.4,0.3,6.7
36019,Clinton County,81224,41648,39576,2.8,89.9,4.1,0.2,1.5,0.0,64719,52759,1739,15.7,20.0,31.6,22.1,23.0,9.2,14.1,79.1,10.6,0.8,4.0,2.8,2.7,19.8,36091,71.0,23.4,5.5,0.1,5.8
