CountyId,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomeErr,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
37001,Alamance County,157844,75078,82766,12.3,65.0,18.9,0.3,1.5,0.0,113344,44281,1192,738,17.6,26.1,33.0,17.4,23.0,10.3,16.2,85.1,9.3,0.2,1.3,1.1,2.9,23.6,73906,81.0,13.2,5.6,0.2,6.0
37003,Alexander County,37159,18797,18362,4.6,87.0,5.9,0.2,1.2,0.1,28548,44523,2886,1043,14.7,23.6,26.8,12.6,20.6,9.4,30.7,84.9,8.9,0.0,0.8,2.6,2.8,25.6,16393,83.2,10.5,6.2,0.2,6.7
37005,Alleghany County,10935,5445,5490,9.4,87.3,2.4,0.1,0.2,0.0,8492,38944,2715,1201,21.0,35.2,29.7,18.0,22.6,15.3,14.4,82.2,10.5,0.2,2.5,0.4,4.2,25.0,4447,70.6,16.9,12.4,0.2,5.7
37007,Anson County,25531,13361,12170,3.8,44.9,48.6,0.3,1.2,0.0,19852,38123,3690,1456,22.7,29.8,23.4,20.7,15.9,12.1,27.9,85.9,10.6,0.0,1.6,0.5,1.4,27.8,10153,73.3,22.0,4.5,0.2,13.4
37009,Ashe County,26833,13213,13620,5.2,92.5,0.8,0.4,0.4,0.0,21170,40293,2235,1441,19.4,28.0,26.2,22.5,22.4,14.0,14.8,79.9,13.3,0.0,1.2,1.4,4.1,26.5,12174,76.8,13.4,9.7,0.1,6.3
37011,Avery County,17535,9573,7962,5.1,89.0,4.2,0.5,0.6,0.0,14331,37109,3320,2169,14.7,17.0,29.8,25.7,20.7,14.1,9.7,78.6,12.4,0.6,4.1,0.9,3.4,22.5,6778,78.3,13.2,8.1,0.4,5.5
37013,Beaufort County,47316,22596,24720,7.6,65.8,25.6,0.0,0.1,0.0,36399,41101,2273,1061,19.1,24.2,31.5,17.4,20.8,14.1,16.1,87.2,5.6,0.2,1.8,0.9,4.3,25.1,19051,76.3,16.4,7.2,0.1,9.0
37015,Bertie County,19913,10057,9856,2.1,34.3,61.6,0.6,0.6,0.0,16080,31287,1747,1036,22.0,35.1,23.7,16.0,18.6,12.7,29.0,80.7,11.6,0.7,2.0,1.9,3.1,24.8,7307,74.0,20.5,5.3,0.2,12.7
37017,Bladen County,34130,16241,17889,7.5,54.2,34.4,2.3,0.0,0.0,25634,32396,2931,1436,24.5,34.9,25.2,20.5,19.0,16.6,18.8,85.7,9.9,0.2,0.8,0.6,2.8,24.7,13263,74.5,19.3,6.0,0.2,7.9
37019,Brunswick County,122586,59412,63174,4.7,81.6,10.5,0.3,0.6,0.1,99492,51164,1371,687,14.1,23.7,29.0,21.5,25.3,13.4,10.8,79.2,11.1,0.4,1.3,1.3,6.7,24.2,48982,77.9,13.4,8.5,0.2,7.8
37021,Buncombe County,252268,121002,131266,6.4,83.7,6.1,0.4,1.2,0.1,195828,48464,1288,671,13.2,17.9,39.6,18.9,22.8,8.7,10.1,79.5,8.2,0.6,2.1,1.0,8.5,20.1,123090,79.7,11.8,8.3,0.2,4.7
37023,Burke County,88898,43908,44990,5.9,82.3,5.9,0.5,3.6,0.1,69273,40854,1572,706,19.3,29.3,28.3,21.5,19.1,9.0,22.1,85.6,9.4,0.2,1.1,0.9,2.9,21.5,37149,75.4,17.9,6.6,0.2,9.3
37025,Cabarrus County,196716,95708,101008,10.0,68.0,16.7,0.3,3.0,0.1,136198,60716,1429,508,11.5,15.9,37.4,16.9,24.6,9.7,11.3,83.3,9.9,0.7,0.7,0.8,4.7,27.8,95894,81.6,13.8,4.5,0.2,6.8
37027,Caldwell County,81805,40361,41444,5.1,87.9,4.9,0.4,0.6,0.0,63220,40735,1356,977,16.4,20.8,24.5,17.0,22.7,11.6,24.2,83.4,10.3,0.1,0.7,1.9,3.7,23.4,35011,80.8,13.2,6.0,0.0,7.9
37029,Camden County,10336,5103,5233,2.7,80.4,14.3,0.1,1.9,0.0,7743,68327,5352,1870,9.0,15.4,37.4,21.5,19.4,11.8,9.8,91.9,4.2,0.0,1.2,1.7,0.9,33.7,4528,65.9,29.3,4.6,0.2,8.9
37031,Carteret County,68699,33760,34939,4.2,86.4,5.7,0.2,1.1,0.0,54854,51584,1561,875,12.5,18.0,35.1,20.3,22.7,12.9,9.0,79.5,11.1,0.4,1.5,2.4,5.0,23.2,30098,67.9,22.3,9.7,0.1,8.0
37033,Caswell County,22833,11490,11343,3.8,61.1,33.0,0.1,0.6,0.2,18175,39428,2039,1521,21.3,34.2,27.8,20.2,22.6,10.9,18.5,81.0,13.7,0.2,1.2,1.1,2.9,31.0,9512,74.4,19.7,5.8,0.2,8.4
37035,Catawba County,156182,76437,79745,9.3,76.1,7.9,0.2,4.1,0.0,114417,48649,1480,745,14.2,20.5,30.5,15.6,23.2,7.3,23.5,84.8,8.7,0.2,0.9,2.1,3.4,22.6,72258,83.7,10.6,5.5,0.2,7.4
37037,Chatham County,68364,33000,35364,12.6,71.4,11.7,0.2,1.4,0.1,50535,59684,1914,1364,13.3,20.8,41.8,16.5,20.1,10.4,11.3,78.6,10.3,0.7,1.3,1.1,8.1,28.7,30832,73.4,17.8,8.4,0.3,5.6
37039,Cherokee County,27463,13483,13980,3.0,91.5,1.4,1.2,0.7,0.0,22344,38115,2031,1158,16.8,24.6,30.1,19.5,25.6,11.5,13.3,81.6,6.3,0.3,3.1,1.8,6.9,24.6,9925,77.4,12.6,9.8,0.2,7.7
37041,Chowan County,14370,6878,7492,3.6,59.7,33.8,0.8,0.0,0.0,11157,41979,3658,1765,22.8,39.7,29.6,25.4,19.8,7.4,17.7,81.3,8.3,0.0,3.7,2.9,3.9,28.2,5439,73.2,21.3,5.3,0.2,11.9
37043,Clay County,10753,5117,5636,3.3,95.0,1.6,0.1,0.0,0.0,8607,37070,5113,2548,17.5,28.0,34.5,23.1,20.3,13.0,9.1,84.2,7.1,0.0,2.0,2.3,4.4,21.3,4275,75.0,14.6,10.0,0.3,7.1
37045,Cleveland County,97038,46733,50305,3.3,73.4,20.7,0.2,1.0,0.0,74152,40002,1561,695,19.9,27.5,29.6,17.8,22.1,9.3,21.3,85.0,10.0,0.3,1.9,0.6,2.2,24.0,40429,79.7,14.9,5.2,0.2,10.3
37047,Columbus County,56589,27882,28707,5.1,59.5,30.4,3.4,0.4,0.0,43007,36261,1778,1391,23.6,35.1,26.0,22.9,20.8,12.4,18.0,86.8,9.6,0.4,0.8,0.9,1.5,26.4,20496,77.3,17.1,5.5,0.2,7.0
37049,Craven County,103374,52488,50886,7.1,66.0,21.0,0.5,2.8,0.0,78048,49391,1367,833,15.4,25.7,33.1,20.4,22.0,12.1,12.5,81.0,11.1,0.2,2.9,1.8,3.1,21.6,40286,72.2,22.9,4.7,0.1,8.1
37051,Cumberland County,332766,165787,166979,11.2,44.6,35.5,1.2,2.4,0.2,241963,44737,795,434,18.2,26.5,33.0,20.7,25.7,8.5,12.1,80.1,8.9,0.6,5.7,1.2,3.5,20.5,123968,70.2,25.0,4.6,0.2,10.0
37053,Currituck County,25247,12522,12725,3.6,87.5,5.3,0.4,0.4,0.0,19425,65758,5882,1339,9.1,9.8,30.3,17.2,27.4,16.2,9.0,83.6,9.9,0.3,1.8,1.2,3.2,37.2,12138,75.9,18.2,5.8,0.1,4.8
37055,Dare County,35412,17441,17971,7.1,87.6,1.8,0.3,0.6,0.0,27356,55640,2805,1192,8.9,11.4,30.8,19.8,28.0,12.5,8.8,78.9,10.6,0.0,2.0,2.2,6.2,20.2,18411,74.8,13.2,11.5,0.4,5.2
37057,Davidson County,164118,80121,83997,6.9,80.8,9.1,0.3,1.5,0.0,122515,45806,1650,552,15.8,22.3,27.7,15.8,24.0,10.6,22.0,85.2,9.7,0.4,1.2,0.8,2.7,24.8,73207,82.9,11.1,5.8,0.2,8.2
37059,Davie County,41766,20394,21372,6.5,84.9,6.1,0.1,0.7,0.0,31612,53493,3372,1639,14.0,21.7,32.7,15.9,24.7,10.0,16.7,82.0,11.0,0.4,1.1,2.1,3.5,26.3,19212,81.6,11.5,6.5,0.4,6.5
37061,Duplin County,59350,29020,30330,21.7,51.8,24.5,0.3,0.4,0.0,38943,36679,1679,812,26.3,40.6,24.2,17.8,18.9,16.0,23.1,77.2,17.2,0.0,1.5,1.0,3.0,26.1,24678,78.5,12.9,8.4,0.1,9.3
37063,Durham County,300865,143946,156919,13.5,42.1,36.9,0.2,4.7,0.0,208438,56393,1261,668,16.4,24.5,49.0,17.0,18.9,6.9,8.2,76.8,10.5,3.7,2.3,1.7,5.0,22.9,154374,79.2,16.1,4.6,0.1,5.8
37065,Edgecombe County,54032,25088,28944,4.3,36.5,57.2,0.1,0.1,0.1,40569,32929,1973,773,24.6,37.0,24.1,20.4,22.4,10.5,22.6,82.5,8.1,0.7,1.9,4.8,2.1,22.0,21693,81.6,13.9,4.3,0.1,10.2
37067,Forsyth County,368362,174966,193396,12.6,57.3,25.7,0.2,2.2,0.1,262874,48369,954,531,18.7,28.6,39.5,17.8,23.0,7.0,12.6,83.9,7.4,1.0,1.6,1.1,5.0,21.4,167780,83.7,11.0,5.2,0.1,6.9
37069,Franklin County,63866,31817,32049,8.1,63.5,25.4,0.4,0.5,0.0,47123,48344,1664,833,16.4,22.0,31.5,16.7,24.1,14.2,13.5,82.3,9.3,0.3,1.8,1.0,5.2,31.7,28158,77.3,16.0,6.3,0.4,7.3
37071,Gaston County,214049,103191,110858,6.6,73.6,15.5,0.4,1.5,0.0,158749,46626,1212,686,16.5,24.3,30.4,17.4,24.3,9.8,18.2,85.3,9.3,0.3,0.8,1.0,3.3,25.4,96263,84.1,10.8,4.9,0.1,8.3
37073,Gates County,11601,5662,5939,0.7,62.5,32.9,0.9,0.4,0.0,9077,52481,2532,1545,12.4,21.4,29.2,16.6,19.2,12.0,23.0,84.9,11.4,0.0,0.5,1.5,1.7,36.5,5012,71.8,23.5,4.8,0.0,8.8
37075,Graham County,8607,4212,4395,1.1,87.4,0.2,10.6,0.0,0.0,6743,36030,5733,1513,19.0,28.2,26.7,31.3,17.0,12.1,12.8,82.5,12.1,0.0,1.1,0.6,3.7,27.5,3025,67.9,23.4,8.0,0.7,8.3
37077,Granville County,58503,29686,28817,7.6,58.2,30.6,0.5,0.4,0.0,44883,52089,1982,844,14.3,18.4,33.3,17.4,21.9,10.3,17.0,84.6,10.6,0.0,0.9,1.0,2.9,28.6,25650,75.2,20.3,4.3,0.2,6.6
37079,Greene County,21059,11380,9679,14.9,46.9,35.4,0.4,0.1,0.0,15222,36989,2776,1229,25.8,38.8,26.8,19.8,14.4,18.6,20.5,81.9,13.5,0.1,2.9,0.4,1.3,25.8,8125,75.2,16.8,8.0,0.0,9.4
