CountyId,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomeErr,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
38001,Adams County,2368,1168,1200,0.5,93.0,1.6,1.1,2.6,0.0,1862,54700,10365,4260,9.2,8.8,44.6,10.7,15.0,17.5,12.2,73.9,9.4,0.6,6.0,2.9,7.3,17.3,1275,73.7,10.6,15.2,0.5,1.6
38003,Barnes County,10971,5397,5574,1.9,92.9,0.9,2.0,0.5,0.0,8690,56237,5027,1860,10.0,11.1,35.1,20.8,15.8,14.6,13.7,77.7,10.2,1.0,5.5,1.3,4.3,17.0,5780,67.8,19.1,12.8,0.3,3.1
38005,Benson County,6875,3520,3355,0.9,41.3,0.0,55.7,0.1,0.0,4506,44500,3237,1498,33.3,50.8,36.5,20.1,18.3,13.7,11.3,73.9,9.1,0.6,5.4,1.5,9.5,18.0,2432,59.1,26.2,14.7,0.0,6.5
38007,Billings County,983,566,417,4.1,94.4,0.9,0.6,0.0,0.0,764,91518,28856,6441,10.3,10.8,34.9,13.5,17.5,16.3,17.9,65.6,7.2,2.1,9.7,1.9,13.6,27.6,498,67.9,18.7,12.7,0.8,3.9
38009,Bottineau County,6651,3478,3173,2.2,92.0,0.8,2.4,0.3,0.0,5218,58767,4354,3382,8.6,9.0,36.8,20.0,18.5,13.8,10.8,76.0,9.2,0.0,6.3,0.7,7.9,18.7,3283,65.5,19.0,14.9,0.6,3.3
38011,Bowman County,3226,1544,1682,5.1,92.6,0.1,1.2,0.0,0.0,2437,65435,6252,3321,8.5,5.8,36.7,18.8,14.6,17.3,12.5,77.4,7.6,0.0,5.3,1.6,8.1,14.3,1796,72.5,11.9,15.3,0.3,1.6
38013,Burke County,2253,1198,1055,1.6,93.4,0.4,2.8,0.0,0.0,1631,71667,4852,3351,7.3,7.1,35.2,14.6,15.7,21.8,12.8,73.2,10.4,0.0,8.0,0.6,7.8,23.9,1129,71.1,17.4,11.0,0.4,2.6
38015,Burleigh County,92372,46218,46154,2.2,89.9,1.7,3.7,0.7,0.0,70032,67308,1651,859,8.5,8.9,39.6,16.0,23.3,11.7,9.4,85.0,8.7,0.3,1.5,0.9,3.7,17.2,51229,77.1,17.8,5.0,0.0,1.8
38017,Cass County,170620,86284,84336,2.5,87.1,4.3,1.0,2.9,0.0,126851,58026,2291,869,11.2,10.8,38.7,17.0,23.7,8.6,12.0,83.0,8.5,0.9,2.7,1.5,3.3,16.0,99839,84.0,11.9,4.0,0.1,2.7
38019,Cavalier County,3817,1944,1873,1.0,95.7,0.3,1.1,0.0,0.0,3014,65505,7241,5546,8.6,12.7,39.4,10.8,20.7,14.5,14.5,83.1,4.2,0.0,4.6,0.5,7.6,12.5,1927,66.4,12.6,20.8,0.3,1.3
38021,Dickey County,5041,2513,2528,3.4,93.6,1.4,1.1,0.4,0.0,3857,58357,4651,2043,6.3,1.9,32.8,17.2,22.8,14.4,12.7,73.2,11.0,0.2,8.8,0.6,6.2,13.4,2658,74.2,11.0,12.9,1.8,2.6
38023,Divide County,2378,1217,1161,1.1,93.3,1.0,1.1,1.5,0.0,1911,54223,11500,4760,13.0,10.5,36.0,16.2,15.9,21.1,10.8,67.1,12.0,0.0,4.0,0.3,16.6,17.0,1201,62.3,7.8,28.8,1.1,2.4
