CountyId,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomeErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
39001,Adams County,27926,13960,13966,1.0,96.6,0.4,0.6,0.2,0.0,21041,36320,2651,23.8,32.0,28.3,18.9,16.7,13.6,22.5,80.8,11.5,0.5,1.3,1.2,4.8,36.5,10124,79.1,13.0,7.7,0.2,7.5
39003,Allen County,104157,52614,51543,2.9,81.2,11.7,0.2,0.7,0.0,79167,47905,1708,15.0,20.9,28.2,18.4,21.8,8.5,23.2,86.4,8.1,0.7,1.6,1.2,2.0,18.9,48351,86.1,9.8,4.0,0.1,7.2
39005,Ashland County,53299,26005,27294,1.3,96.0,0.8,0.0,0.6,0.0,40471,50893,1608,14.2,21.5,29.2,16.9,20.7,10.6,22.5,84.9,6.5,0.3,3.9,1.1,3.3,24.4,25070,85.4,10.1,4.1,0.4,4.2
39007,Ashtabula County,98622,49509,49113,4.0,89.9,3.4,0.2,0.5,0.0,75838,43017,1597,19.8,30.7,26.1,18.4,21.4,9.2,24.9,84.7,8.5,0.6,1.8,1.7,2.7,25.9,40003,83.0,11.0,5.9,0.2,7.4
39009,Athens County,65563,32641,32922,1.8,89.7,2.5,0.2,2.8,0.1,53650,37191,2008,30.2,30.1,36.5,23.5,22.8,7.8,9.4,71.7,7.7,0.7,13.7,1.9,4.5,20.2,27434,65.9,29.2,4.7,0.2,8.7
39011,Auglaize County,45778,22866,22912,1.6,96.0,0.4,0.2,0.5,0.1,34450,59516,1900,9.0,12.4,29.8,14.5,20.6,8.2,26.8,87.6,6.8,0.1,1.7,1.1,2.7,19.6,23229,85.3,9.9,4.8,0.1,3.4
39013,Belmont County,68889,35167,33722,0.9,93.0,4.1,0.2,0.4,0.0,55407,46484,1587,14.1,20.2,28.3,20.4,22.4,14.1,14.8,88.3,6.0,0.4,2.3,0.9,2.0,23.2,29211,83.5,12.7,3.7,0.1,6.8
39015,Brown County,43799,21693,22106,0.9,96.6,0.8,0.1,0.3,0.0,33491,49188,2984,17.8,25.1,25.6,20.7,21.8,12.1,19.9,83.9,8.2,0.1,1.7,0.9,5.3,36.5,19122,79.6,12.4,7.8,0.3,6.5
39017,Butler County,375702,184149,191553,4.5,82.2,7.8,0.1,2.9,0.1,275267,62188,1209,12.9,17.0,38.5,16.5,24.4,6.9,13.8,84.7,7.6,0.6,2.0,0.9,4.2,24.4,180865,85.1,10.6,4.2,0.1,5.4
39019,Carroll County,27825,13824,14001,1.3,96.4,0.9,0.1,0.4,0.1,21887,51748,3535,14.8,21.5,25.3,17.6,22.2,14.2,20.7,83.2,8.3,0.0,2.4,1.8,4.3,28.5,12637,81.2,10.0,8.7,0.2,4.7
39021,Champaign County,39005,19453,19552,1.5,93.5,1.6,0.1,0.5,0.1,29895,54495,2126,11.1,15.4,24.5,15.8,21.0,9.7,28.9,85.0,9.3,0.0,2.3,0.8,2.6,25.9,18119,82.4,12.1,5.5,0.1,7.3
39023,Clark County,135520,65575,69945,3.2,84.4,8.1,0.1,0.6,0.1,103362,46275,1248,16.6,25.1,29.1,18.5,23.2,8.4,20.7,81.9,9.7,0.9,2.8,1.2,3.5,22.0,60438,81.6,12.8,5.3,0.3,7.7
39025,Clermont County,202166,99940,102226,1.8,93.9,1.4,0.2,1.1,0.0,152135,64183,1592,9.8,12.8,36.4,15.7,25.5,9.1,13.3,85.6,6.9,0.5,1.1,0.8,5.1,28.0,100348,85.2,9.4,5.3,0.1,4.4
39027,Clinton County,41869,20707,21162,1.6,93.4,2.1,0.1,0.4,0.0,31695,49997,2050,14.7,20.8,27.4,16.6,24.2,10.4,21.4,83.4,7.9,0.4,3.0,1.5,4.0,25.6,19223,80.7,12.6,6.4,0.3,6.6
39029,Columbiana County,104584,52586,51998,1.6,94.2,2.2,0.1,0.2,0.0,82384,45498,1393,15.4,24.7,25.7,18.1,22.2,10.8,23.3,86.5,7.6,0.4,2.0,0.9,2.7,25.3,45737,83.1,10.3,6.5,0.1,7.5
39031,Coshocton County,36602,18192,18410,1.0,96.1,1.1,0.2,0.3,0.0,27920,43251,2607,15.0,21.2,22.0,18.7,19.5,13.1,26.7,80.0,9.6,0.4,2.5,2.0,5.5,23.9,15613,81.1,11.0,7.5,0.4,6.7
39033,Crawford County,42231,20626,21605,1.5,95.7,0.9,0.1,0.4,0.0,32760,41726,1070,16.2,26.1,27.5,18.9,20.2,8.1,25.3,84.4,9.3,0.3,2.7,1.1,2.2,20.8,18534,83.2,11.4,5.4,0.0,6.4
39035,Cuyahoga County,1257401,599033,658368,5.6,59.7,29.3,0.1,2.8,0.0,957130,46720,430,18.3,26.9,39.6,18.3,23.9,5.5,12.7,79.8,7.5,4.8,2.7,1.2,4.0,24.3,587730,83.7,12.1,4.1,0.1,8.9
39037,Darke County,51919,25569,26350,1.5,96.4,0.8,0.2,0.3,0.0,39124,50064,1661,11.6,17.5,25.1,15.2,20.9,12.0,26.8,84.8,7.2,0.6,2.2,1.0,4.2,23.2,24632,84.5,7.2,7.9,0.4,5.1
39039,Defiance County,38311,18969,19342,9.6,86.9,1.7,0.4,0.3,0.0,29114,55295,2089,11.0,16.4,25.9,16.1,22.6,9.3,26.2,86.8,6.9,0.4,2.6,0.6,2.6,20.3,18654,84.3,10.6,4.7,0.4,5.0
39041,Delaware County,193024,95515,97509,2.4,86.4,3.4,0.1,5.5,0.0,135285,100229,2514,5.1,6.0,53.2,12.2,23.6,4.3,6.6,86.0,4.6,0.2,1.1,0.7,7.5,26.2,99215,80.5,13.5,5.9,0.1,2.6
39043,Erie County,75369,36972,38397,4.2,83.6,8.1,0.2,0.6,0.0,59085,51033,1456,13.0,19.1,30.7,21.2,20.7,8.9,18.5,84.5,8.5,0.9,2.0,1.3,2.7,21.0,35825,81.9,12.9,5.1,0.1,6.5
39045,Fairfield County,151526,75440,76086,2.0,87.1,7.1,0.1,1.6,0.0,112986,63424,1617,9.9,12.9,36.5,17.0,25.1,8.0,13.4,85.4,8.0,0.4,1.5,0.9,3.9,28.3,71254,80.1,15.1,4.6,0.2,5.1
39047,Fayette County,28659,14027,14632,2.0,92.9,2.0,0.0,0.8,0.1,21586,44289,2298,17.7,27.2,26.7,16.8,24.2,10.5,21.9,86.8,8.1,0.2,1.0,0.4,3.4,24.0,12510,80.1,13.8,5.8,0.3,6.3
39049,Franklin County,1253507,611086,642421,5.2,64.5,21.7,0.1,4.8,0.0,894661,56319,509,16.7,24.2,42.4,16.9,24.1,5.1,11.5,81.3,7.8,2.4,2.5,1.5,4.4,21.8,650022,81.7,14.0,4.3,0.1,5.7
39051,Fulton County,42296,20912,21384,8.4,89.4,0.3,0.2,0.4,0.1,31635,57774,2425,10.6,15.2,27.8,15.9,21.3,12.3,22.7,88.0,6.6,0.1,1.9,0.8,2.6,24.1,20729,84.1,10.3,5.3,0.2,5.9
39053,Gallia County,30203,14814,15389,1.3,93.6,2.8,0.5,0.7,0.1,23114,42002,2864,20.9,29.5,27.8,19.8,22.3,11.2,18.9,85.9,5.3,0.2,1.9,1.5,5.2,29.0,11930,80.9,13.0,5.8,0.4,5.8
39055,Geauga County,93895,46220,47675,1.4,95.8,1.2,0.1,0.6,0.0,70960,77104,2375,6.5,8.8,40.8,14.8,23.3,9.8,11.3,79.2,8.2,0.5,1.8,2.2,8.2,28.3,47123,82.1,9.6,8.1,0.1,3.5
39057,Greene County,164825,81014,83811,2.7,84.2,6.8,0.1,3.0,0.0,126746,65032,1700,12.3,17.1,45.2,16.0,22.9,6.1,9.8,83.7,7.3,0.4,3.5,0.8,4.3,21.0,77038,75.2,19.9,4.8,0.1,5.7
39059,Guernsey County,39414,19544,19870,1.1,94.8,1.2,0.2,0.3,0.0,30380,42744,2537,20.2,33.5,27.3,17.6,22.6,12.5,20.0,86.0,7.3,0.3,1.7,1.5,3.3,24.4,16454,80.0,13.3,6.6,0.2,8.5
39061,Hamilton County,808703,389496,419207,3.0,65.9,25.6,0.1,2.4,0.1,600197,52389,581,17.0,24.8,41.4,17.7,23.6,5.8,11.5,79.8,8.0,3.8,2.9,1.0,4.5,23.2,394387,85.2,10.2,4.5,0.1,7.0
39063,Hancock County,75508,37209,38299,5.2,89.6,1.4,0.0,1.8,0.0,56858,52831,2001,12.1,15.9,32.8,16.7,19.8,8.1,22.7,84.1,9.3,0.2,2.2,0.9,3.3,17.1,37928,86.3,9.0,4.7,0.1,4.5
39065,Hardin County,31576,15620,15956,1.6,95.3,0.7,0.0,0.8,0.0,23874,46404,2271,16.6,22.9,27.2,17.6,19.6,7.3,28.3,81.0,8.4,0.2,3.2,1.9,5.2,25.2,14190,81.0,12.8,5.8,0.4,6.8
39067,Harrison County,15397,7606,7791,0.9,95.2,2.0,0.1,0.5,0.0,12102,46223,2725,15.7,24.1,24.5,17.0,21.1,16.7,20.7,81.7,10.8,0.1,4.0,0.8,2.7,28.3,6707,84.7,11.1,3.9,0.3,4.9
39069,Henry County,27463,13558,13905,7.5,90.2,0.5,0.1,0.4,0.0,20756,58070,3117,9.0,12.3,30.2,15.4,17.3,11.1,25.9,88.1,7.0,0.3,1.3,0.8,2.5,22.3,13527,83.3,11.8,4.7,0.2,4.5
39071,Highland County,43031,21262,21769,0.9,95.5,1.2,0.2,0.4,0.0,32478,42333,2216,21.6,32.4,27.4,15.4,19.4,12.0,25.7,81.4,11.1,0.5,2.2,0.9,3.9,29.2,17468,78.3,11.9,9.6,0.2,7.3
39073,Hocking County,28547,14122,14425,0.6,96.6,1.0,0.0,0.2,0.0,21944,48073,3504,14.2,18.9,29.5,18.9,22.5,12.2,16.9,85.2,7.6,0.7,1.9,1.0,3.6,32.0,12571,76.8,16.7,6.1,0.5,7.4
39075,Holmes County,43808,21874,21934,0.9,97.9,0.2,0.0,0.2,0.0,29414,58728,2576,12.0,17.4,20.8,14.2,18.2,15.4,31.4,52.5,22.0,0.2,6.7,10.2,8.3,20.9,19857,79.6,6.1,13.4,0.9,2.8
39077,Huron County,58497,28837,29660,6.2,90.6,1.3,0.0,0.2,0.0,43271,49710,1428,14.2,22.4,23.8,16.5,19.5,12.4,27.8,83.6,9.3,0.6,2.2,1.5,2.7,22.5,27061,85.1,9.3,5.2,0.4,5.8
39079,Jackson County,32624,15953,16671,1.0,96.2,0.8,0.0,0.1,0.1,24679,43397,2292,20.6,29.3,31.1,15.6,22.3,10.7,20.3,84.9,9.2,0.1,2.8,0.7,2.4,25.6,13511,77.9,16.6,5.2,0.2,10.8
39081,Jefferson County,67349,32579,34770,1.3,90.5,5.5,0.1,0.3,0.0,53978,43161,1770,17.6,25.9,28.8,21.1,24.2,9.9,16.0,84.0,7.7,0.5,3.5,0.7,3.8,25.0,27679,85.9,9.3,4.7,0.1,7.9
39083,Knox County,60945,29830,31115,1.4,95.5,0.9,0.1,0.4,0.0,46550,51211,1892,13.8,18.9,32.3,18.7,20.1,10.1,18.7,77.8,10.0,0.5,4.9,1.3,5.5,24.9,28489,82.8,10.8,6.0,0.3,5.8
39085,Lake County,229701,112214,117487,4.0,89.1,3.8,0.1,1.2,0.0,177462,61137,1160,8.3,11.4,36.9,16.5,24.3,7.2,15.1,87.5,6.6,0.9,1.3,0.4,3.3,23.6,117678,85.9,10.0,4.0,0.1,4.8
39087,Lawrence County,61057,29977,31080,0.9,94.9,1.9,0.0,0.5,0.0,47242,45466,2272,18.6,25.7,29.5,19.6,24.7,7.5,18.8,87.7,7.5,0.3,1.5,1.3,1.8,23.5,24607,83.7,13.2,3.1,0.0,6.5
39089,Licking County,170678,83575,87103,1.7,91.2,3.5,0.1,1.0,0.0,129195,59747,1621,11.8,18.1,36.1,16.5,24.6,9.1,13.8,83.6,8.1,0.3,2.6,1.2,4.2,25.8,83030,81.4,13.1,5.5,0.1,5.9
39091,Logan County,45323,22419,22904,1.5,93.7,1.6,0.2,0.7,0.0,34284,53051,1732,13.7,21.8,27.4,12.5,19.7,8.9,31.6,80.4,12.0,0.2,1.3,1.0,5.1,22.0,21218,83.7,8.9,7.2,0.1,5.8
