CountyId,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomeErr,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
41001,Baker County,15980,8156,7824,3.9,91.1,0.9,1.0,0.8,0.4,12638,43765,3354,1382,15.3,23.8,33.6,15.4,20.6,15.4,15.0,71.2,13.2,0.0,5.3,2.9,7.4,16.0,6354,70.7,18.6,10.4,0.3,7.3
41003,Benton County,88249,44598,43651,7.1,81.3,1.0,0.5,6.6,0.3,67672,54682,2361,887,20.7,12.8,50.2,17.8,18.3,6.5,7.1,65.3,7.9,2.2,7.5,9.6,7.5,19.6,41703,66.2,27.6,6.1,0.1,6.7
41005,Clackamas County,399962,196834,203128,8.4,82.7,0.9,0.6,4.1,0.2,298394,72408,1110,653,9.0,10.8,39.4,15.1,25.3,8.4,11.7,76.3,9.3,2.9,2.1,1.6,7.8,28.7,197975,81.0,11.3,7.5,0.2,5.6
41007,Clatsop County,38021,18909,19112,8.3,86.0,0.7,0.3,0.9,0.3,29388,49828,1932,1087,12.2,14.6,30.0,22.9,26.0,10.2,11.0,73.1,10.4,0.8,7.3,3.2,5.2,19.1,17121,75.9,15.5,8.3,0.3,6.5
41009,Columbia County,50207,25179,25028,4.8,89.1,0.5,1.1,1.2,0.2,38468,57449,2724,1352,12.3,15.3,28.6,18.4,21.7,12.5,18.8,78.7,12.3,0.8,2.3,1.0,5.0,33.3,21362,81.7,11.3,6.9,0.1,7.5
41011,Coos County,62921,30820,32101,6.3,85.6,0.6,2.0,1.1,0.2,49893,40848,1581,1578,17.9,25.2,29.9,21.7,22.6,12.7,13.1,76.6,10.5,1.0,3.8,1.8,6.3,19.1,24254,72.2,16.4,11.0,0.4,9.2
41013,Crook County,21717,10627,11090,7.6,88.4,0.2,0.9,0.3,0.4,16984,41777,3308,1349,15.3,23.1,24.0,24.8,27.0,9.0,15.2,77.3,11.0,0.0,4.0,1.2,6.5,23.4,8828,74.3,15.5,10.1,0.1,8.3
41015,Curry County,22377,10898,11479,6.8,86.8,0.3,2.0,0.5,0.0,18657,42519,6221,1652,15.5,20.6,34.4,21.8,23.0,12.8,8.0,75.2,8.9,0.0,6.5,1.6,7.8,14.4,7745,63.4,23.6,12.9,0.0,9.9
41017,Deschutes County,175321,86629,88692,7.8,87.7,0.5,0.4,1.1,0.1,134187,59152,2132,858,12.1,15.2,36.9,19.8,24.4,9.2,9.7,74.3,9.3,0.4,2.7,2.9,10.4,18.5,83721,79.0,10.3,10.4,0.3,5.5
41019,Douglas County,107576,53134,54442,5.5,88.4,0.4,1.0,0.9,0.1,85336,44023,1555,865,17.0,25.3,28.6,19.1,23.8,12.0,16.5,80.2,9.7,0.3,2.6,1.9,5.2,19.5,40971,74.4,18.1,7.2,0.3,8.9
41021,Gilliam County,1910,962,948,8.1,86.0,0.0,5.2,0.0,0.7,1454,39831,8471,2893,9.9,2.3,31.0,15.0,20.8,16.4,16.8,77.8,5.0,0.0,8.7,1.1,7.4,17.5,751,64.0,25.2,10.4,0.4,7.5
41023,Grant County,7209,3647,3562,3.6,91.8,0.4,1.0,0.4,0.0,5854,44826,5576,1761,13.7,22.1,38.8,16.7,19.6,14.9,10.0,74.7,11.5,0.2,6.0,0.8,6.7,17.2,2983,59.2,30.3,10.2,0.3,7.6
41025,Harney County,7195,3633,3562,5.0,86.8,0.8,3.1,0.4,0.1,5560,39504,4691,2125,17.5,23.3,38.4,19.0,21.4,13.7,7.5,73.2,8.4,0.2,6.6,2.4,9.3,15.8,2881,56.9,27.8,14.4,1.0,13.1
41027,Hood River County,22938,11512,11426,31.1,64.2,0.1,0.6,1.9,0.0,14538,57269,3838,2777,12.1,18.2,35.6,15.1,16.5,20.3,12.4,68.3,11.2,0.1,5.9,3.3,11.2,17.4,11263,78.3,12.4,9.3,0.0,5.1
41029,Jackson County,212070,103422,108648,12.2,81.7,0.6,0.6,1.2,0.3,160774,48688,1163,704,16.7,22.6,32.7,20.7,24.6,10.3,11.6,75.5,10.0,0.9,3.3,2.5,7.9,18.7,92422,76.4,12.5,10.9,0.2,7.5
41031,Jefferson County,22707,11605,11102,19.8,60.2,0.8,16.4,0.6,0.4,16443,48464,3467,2270,20.9,30.3,30.1,21.7,19.2,13.4,15.6,74.7,14.8,0.2,2.9,1.4,6.0,20.4,8073,68.1,24.4,7.4,0.1,11.9
41033,Josephine County,84514,41320,43194,7.1,87.4,0.4,1.2,0.6,0.0,66199,40705,2203,1407,18.6,25.4,30.2,21.9,23.2,9.9,14.8,81.0,7.2,0.5,3.1,2.5,5.6,20.1,30300,74.8,13.0,12.1,0.1,9.0
41035,Klamath County,66018,32995,33023,12.3,78.7,0.7,3.2,1.0,0.1,49780,42531,1905,839,18.7,24.7,29.0,21.3,24.5,10.9,14.3,79.9,9.0,0.6,2.9,1.6,6.0,16.2,26034,72.9,18.7,8.2,0.3,9.1
41037,Lake County,7807,4165,3642,7.9,85.2,0.3,1.9,0.8,0.0,6250,32769,3649,1489,20.0,25.6,30.5,22.6,16.8,17.8,12.2,70.9,9.0,0.1,6.6,2.2,11.1,14.6,3039,61.5,24.7,13.0,0.8,6.9
41039,Lane County,363471,179116,184355,8.4,82.6,1.0,0.8,2.5,0.2,282366,47710,857,417,18.8,20.3,35.3,19.9,24.6,8.0,12.1,71.1,10.2,3.1,5.0,4.7,5.9,20.2,167083,77.2,15.1,7.5,0.2,7.6
41041,Lincoln County,47307,22779,24528,8.9,82.9,0.4,2.8,1.2,0.2,37758,43291,1854,1021,18.4,30.4,27.4,27.7,24.2,9.2,11.5,72.4,13.0,1.3,5.0,1.5,6.8,18.9,18891,72.0,16.1,11.7,0.2,6.5
41043,Linn County,121074,59757,61317,8.7,85.7,0.4,0.9,1.2,0.1,90345,49515,1904,702,16.1,21.6,29.6,19.0,22.1,11.7,17.6,78.0,11.3,0.4,2.6,2.3,5.4,22.3,51079,78.2,15.0,6.7,0.1,8.8
41045,Malheur County,30421,16514,13907,33.1,61.7,0.9,0.7,1.6,0.1,20573,37112,2868,877,25.2,36.8,26.5,22.1,18.6,15.8,17.0,75.7,11.3,0.3,4.7,2.5,5.6,18.9,10824,73.8,17.5,8.2,0.6,8.6
41047,Marion County,330453,164623,165830,26.0,66.3,1.0,0.5,2.0,0.8,220420,53828,1048,442,15.9,23.2,30.5,18.8,24.3,12.9,13.5,75.2,13.5,1.9,3.0,1.8,4.6,23.2,146632,77.2,17.2,5.4,0.2,6.8
41049,Morrow County,11153,5724,5429,35.1,60.7,0.3,0.7,0.6,0.3,6727,54386,3538,1162,14.7,20.2,26.8,13.6,15.7,21.9,22.0,74.1,14.7,0.4,3.1,1.8,6.0,20.4,4795,75.5,16.3,7.7,0.5,4.8
41051,Multnomah County,788459,390542,397917,11.3,70.5,5.3,0.6,7.0,0.6,579030,60369,846,434,16.4,20.6,45.2,17.9,21.0,5.6,10.4,60.1,9.5,11.4,5.1,6.7,7.2,26.6,416325,80.8,11.9,7.2,0.2,6.8
41053,Polk County,79666,38699,40967,13.4,78.9,1.0,1.2,1.9,0.4,57385,56032,2412,551,15.4,17.5,35.1,19.4,23.7,10.8,11.1,77.4,10.5,0.5,3.3,1.6,6.7,24.6,34825,69.7,23.3,6.9,0.1,8.3
41055,Sherman County,1635,864,771,4.5,91.7,0.8,0.8,0.1,0.0,1361,42074,7268,5432,13.7,13.8,32.8,15.1,19.5,15.0,17.5,70.3,10.1,0.3,6.6,2.1,10.8,22.3,753,66.7,20.1,12.7,0.5,4.9
