CountyId,State,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
42001,Pennsylvania,Adams County,101589,50055,51534,6.8,89.5,1.4,0.0,0.7,0.0,78227,62661,1660,29685,663,8.8,13.9,30.1,16.2,22.1,11.0,20.6,82.3,9.1,0.3,3.7,0.9,3.8,27.6,50561,83.4,10.7,5.6,0.2,4.9
42003,Pennsylvania,Allegheny County,1229605,593177,636428,2.0,79.1,12.7,0.1,3.5,0.0,961881,56333,474,35280,259,12.5,16.9,45.0,16.8,23.7,6.1,8.3,72.0,8.4,9.2,4.2,1.5,4.7,26.7,622670,86.7,8.6,4.6,0.1,5.9
42005,Pennsylvania,Armstrong County,66737,33176,33561,0.7,97.3,1.0,0.0,0.2,0.0,53561,47527,1677,25502,598,13.0,20.1,28.3,19.0,21.2,13.6,17.9,83.3,8.9,0.7,2.5,1.1,3.5,29.7,29713,85.5,9.5,5.0,0.0,6.9
42007,Pennsylvania,Beaver County,168161,81606,86555,1.5,89.7,5.9,0.0,0.5,0.0,134353,53981,1083,29162,479,10.8,16.0,33.8,17.4,25.4,8.8,14.6,82.2,8.8,2.0,2.3,0.9,4.0,25.6,81802,86.4,9.3,4.2,0.1,5.6
42009,Pennsylvania,Bedford County,48891,24404,24487,1.1,96.9,0.4,0.1,0.2,0.0,38863,48703,1665,24219,551,13.6,18.9,25.7,18.3,21.2,13.4,21.4,80.8,10.0,0.4,2.6,1.5,4.6,27.2,22161,80.0,11.0,8.6,0.3,5.9
42011,Pennsylvania,Berks County,415500,204283,211217,19.6,73.2,4.1,0.1,1.4,0.0,307824,59580,931,29041,332,13.6,21.4,31.8,16.7,23.3,8.7,19.4,79.8,9.8,1.6,3.3,1.6,3.9,24.9,201177,85.7,9.1,5.1,0.1,7.3
42013,Pennsylvania,Blair County,124736,61106,63630,1.2,94.8,1.5,0.0,0.7,0.0,98433,45664,1034,25531,671,15.2,21.5,31.2,18.6,25.3,8.8,16.0,82.5,8.8,0.8,3.7,1.2,2.9,20.1,56657,83.1,11.8,4.9,0.2,5.2
42015,Pennsylvania,Bradford County,61546,30348,31198,1.4,96.1,0.6,0.1,0.6,0.0,47743,50900,1451,26937,926,12.2,18.5,28.4,16.2,19.8,13.6,21.9,80.9,8.8,0.2,4.7,1.0,4.4,22.5,26598,82.9,9.8,7.0,0.3,5.6
42017,Pennsylvania,Bucks County,626486,307319,319167,5.0,84.8,3.8,0.2,4.5,0.0,476133,82031,1010,41924,529,6.1,7.6,43.1,13.9,25.2,7.8,9.9,81.9,7.0,3.3,1.8,0.8,5.1,29.8,326994,85.9,8.8,5.2,0.2,5.4
42019,Pennsylvania,Butler County,185984,91847,94137,1.4,95.0,0.9,0.1,1.1,0.0,145821,66037,1398,35101,562,8.4,9.6,38.8,16.1,23.7,9.1,12.3,84.6,7.2,0.7,2.4,0.7,4.4,26.8,93194,85.2,9.6,5.0,0.2,4.5
