CountyId,State,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
45001,South Carolina,Abbeville County,24788,12044,12744,1.3,68.9,27.6,0.1,0.3,0.0,19452,35254,2259,19234,799,22.7,32.1,27.2,20.7,20.8,10.6,20.7,78.3,11.1,0.5,1.8,1.8,6.5,25.8,9505,78.8,13.3,7.8,0.1,9.4
45003,South Carolina,Aiken County,165707,80260,85447,5.5,66.7,24.5,0.2,1.0,0.0,124553,47713,1780,26222,719,16.7,26.6,34.0,16.9,22.9,10.7,15.5,84.6,10.4,0.2,1.0,0.9,2.9,24.9,70753,78.1,16.4,5.0,0.4,9.0
45005,South Carolina,Allendale County,9402,4952,4450,3.1,22.5,73.5,0.5,0.0,0.0,7492,23331,2177,13439,1150,30.4,52.7,20.3,24.0,18.8,13.9,22.9,80.4,10.7,2.2,4.1,1.0,1.6,28.3,2668,71.0,23.4,5.7,0.0,17.3
45007,South Carolina,Anderson County,194174,93474,100700,3.5,77.6,16.0,0.2,0.9,0.0,146429,45551,877,24485,549,15.6,22.5,32.3,16.6,23.7,9.9,17.5,86.1,8.4,0.2,1.2,1.2,2.8,22.9,85591,80.7,13.4,5.8,0.2,6.7
45009,South Carolina,Bamberg County,14842,7218,7624,1.9,35.6,61.5,0.1,0.4,0.0,11687,32330,6355,19256,1474,24.5,40.7,32.1,19.4,17.3,11.6,19.5,81.3,11.1,1.2,3.8,0.9,1.7,24.4,5592,71.4,23.3,5.3,0.0,6.5
45011,South Carolina,Barnwell County,21788,10369,11419,2.3,51.2,45.1,0.1,0.4,0.0,16286,34035,3260,20018,1824,27.0,42.8,23.9,20.0,23.5,12.6,20.0,87.0,8.4,0.3,1.5,1.1,1.7,27.6,8004,76.4,18.1,5.4,0.1,10.1
45013,South Carolina,Beaufort County,179316,88524,90792,11.3,67.4,18.1,0.2,1.2,0.1,135276,60603,1522,34966,970,11.9,21.1,34.7,23.8,23.2,10.8,7.5,76.4,11.4,0.5,2.2,2.7,6.9,22.4,74171,79.9,13.6,6.2,0.2,6.3
45015,South Carolina,Berkeley County,204632,101773,102859,6.3,64.0,23.9,0.4,2.3,0.1,149520,56697,1142,27010,567,12.8,18.7,33.1,17.6,24.0,11.3,13.8,82.5,9.2,0.6,2.9,1.1,3.6,27.3,93092,77.2,18.1,4.6,0.1,6.4
45017,South Carolina,Calhoun County,14808,7071,7737,3.6,53.6,41.6,0.5,0.0,0.0,11656,44010,4891,24766,1935,18.3,22.9,28.5,15.0,23.2,12.7,20.6,86.0,8.3,0.3,1.1,1.2,3.1,28.1,6362,74.6,18.7,6.7,0.0,6.5
45019,South Carolina,Charleston County,387847,187854,199993,5.0,63.9,27.6,0.1,1.3,0.0,299639,57882,1257,35587,595,15.3,22.8,41.7,19.2,23.0,7.4,8.7,78.8,8.0,1.5,2.9,2.5,6.3,23.2,195823,77.3,16.3,6.2,0.2,5.3
45021,South Carolina,Cherokee County,56549,27527,29022,4.1,73.1,19.9,0.1,0.6,0.1,42586,35286,2263,20516,1478,22.0,31.7,25.6,15.9,24.9,8.4,25.2,87.3,9.1,0.2,1.5,0.8,1.2,22.1,21599,82.7,12.7,4.1,0.4,7.8
45023,South Carolina,Chester County,32424,15850,16574,1.9,58.9,36.4,0.3,0.4,0.0,24830,37421,3186,20518,1081,21.8,29.1,22.7,15.8,24.7,11.5,25.2,84.6,9.3,0.4,1.5,1.2,3.0,28.8,12706,80.5,15.2,4.2,0.2,9.8
45025,South Carolina,Chesterfield County,46127,22685,23442,4.2,60.8,32.0,0.4,0.5,0.1,34601,38469,2713,19768,992,23.8,35.1,22.7,16.3,22.1,12.7,26.2,84.9,9.6,0.4,0.9,3.0,1.2,23.9,19051,80.2,13.5,6.1,0.2,9.0
45027,South Carolina,Clarendon County,34156,16822,17334,3.0,47.4,48.3,0.1,0.3,0.0,26881,35838,1351,20616,1215,23.3,34.7,29.0,17.4,23.1,11.9,18.6,82.1,11.8,0.9,1.1,1.3,2.8,29.6,11777,77.0,17.5,5.4,0.1,12.0
45029,South Carolina,Colleton County,37581,18265,19316,3.1,56.3,38.0,0.7,0.0,0.9,28612,34996,1363,21059,1204,22.3,34.1,23.7,23.4,21.2,13.6,18.0,81.5,13.2,0.0,0.4,1.9,3.0,33.1,15638,70.9,18.6,10.3,0.2,9.5
45031,South Carolina,Darlington County,67572,31915,35657,1.9,55.0,40.7,0.3,0.4,0.0,51426,36217,1783,21225,809,22.7,32.4,31.1,17.5,23.8,8.9,18.7,84.1,10.7,0.2,1.4,1.1,2.5,23.0,26757,80.1,14.4,5.2,0.3,13.1
45033,South Carolina,Dillon County,31073,14568,16505,2.7,46.1,46.4,2.0,0.3,0.0,22716,30866,2021,15638,753,30.6,45.3,21.8,18.8,24.9,9.2,25.2,73.3,20.8,0.0,1.4,0.9,3.7,23.7,11332,80.8,15.0,4.1,0.0,9.1
45035,South Carolina,Dorchester County,151716,73919,77797,5.0,64.6,25.3,0.4,1.9,0.0,110532,58685,1583,27317,630,11.8,16.2,36.5,16.9,25.7,9.3,11.5,85.4,7.9,0.6,0.8,1.1,4.2,28.8,70522,77.1,18.1,4.7,0.2,6.2
45037,South Carolina,Edgefield County,26620,14332,12288,5.7,56.5,36.4,0.3,0.4,0.0,20817,47500,2412,23804,1415,15.5,25.2,28.8,15.6,22.3,15.3,18.0,81.9,12.0,1.5,1.4,0.9,2.3,25.2,10410,76.3,16.4,7.0,0.2,7.3
45039,South Carolina,Fairfield County,22868,10782,12086,2.0,37.4,54.9,0.3,0.3,0.0,18069,35551,4292,21972,2146,21.3,28.3,24.2,21.4,22.9,9.7,21.9,84.5,11.1,0.2,1.2,0.1,2.9,31.1,8726,78.2,17.8,4.0,0.0,9.3
