CountyId,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomeErr,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
46003,Aurora County,2739,1445,1294,6.7,88.8,1.6,2.3,0.0,0.0,1931,57257,3400,2725,6.2,6.2,35.6,16.9,16.8,17.6,13.1,69.7,10.9,0.0,6.9,3.0,9.5,16.4,1462,67.0,16.2,16.6,0.3,1.4
46005,Beadle County,18163,9219,8944,9.1,79.5,0.4,1.4,9.3,0.0,11807,48995,3809,963,23.7,38.4,29.7,13.0,23.5,9.4,24.3,80.1,11.3,1.2,2.4,1.4,3.6,13.9,9105,77.4,12.9,9.5,0.3,2.1
46007,Bennett County,3440,1567,1873,7.3,31.0,0.2,47.2,0.2,0.0,2208,45725,3810,1830,38.1,51.6,37.0,17.7,22.7,13.3,9.4,61.6,12.9,1.1,6.6,6.3,11.5,17.4,1212,48.1,39.2,11.8,0.9,13.5
46009,Bon Homme County,6972,4057,2915,3.0,87.4,1.3,5.0,1.4,0.0,5667,52923,4051,2413,10.3,14.3,40.5,18.2,14.9,9.1,17.2,71.9,10.6,0.0,5.1,1.1,11.2,19.6,2897,63.7,18.6,17.0,0.7,1.2
46011,Brookings County,33697,17153,16544,2.6,91.0,1.4,1.1,2.9,0.0,25606,53473,2404,1377,15.9,10.7,36.6,17.4,22.2,10.1,13.6,76.9,9.3,0.4,5.8,2.0,5.5,14.9,19080,74.6,19.6,5.6,0.3,3.3
46013,Brown County,38637,18909,19728,2.5,88.6,1.6,3.4,2.6,0.0,28734,53807,2779,1875,11.0,11.4,33.2,15.9,24.0,10.2,16.6,83.2,8.3,0.2,2.4,1.9,3.9,12.9,20738,81.1,11.7,7.0,0.3,1.8
46015,Brule County,5280,2626,2654,2.5,84.8,0.0,9.8,0.3,0.0,3887,50870,3978,2970,14.6,18.4,37.9,20.3,20.5,12.4,8.8,74.0,7.7,1.4,2.9,5.9,8.2,13.4,2691,65.9,15.0,15.2,3.9,2.0
46017,Buffalo County,2048,984,1064,2.4,11.8,0.4,81.3,0.0,2.0,1259,30500,6450,1213,40.5,44.6,31.5,30.0,21.7,9.6,7.2,75.8,11.3,0.0,7.0,0.5,5.3,13.0,594,38.9,57.7,2.2,1.2,17.0
46019,Butte County,10194,5078,5116,3.5,91.8,0.6,1.8,0.0,0.0,7682,44786,4912,3262,11.1,6.7,28.5,20.2,19.4,16.9,14.9,74.3,14.8,0.0,2.5,0.1,8.3,20.5,5096,69.3,15.6,14.5,0.6,2.8
46021,Campbell County,1443,720,723,0.1,97.2,0.0,1.0,0.0,0.0,1133,51548,8345,7250,4.7,1.3,49.8,15.2,18.1,7.3,9.6,75.2,5.8,0.0,8.2,0.8,10.0,17.1,757,59.7,15.9,24.4,0.0,1.0
46023,Charles Mix County,9319,4637,4682,3.1,63.3,0.1,29.9,0.2,0.1,6568,44104,2242,1525,21.4,28.9,34.6,22.7,19.5,10.8,12.5,78.0,7.2,0.3,4.1,2.6,7.8,10.3,3829,61.7,24.8,13.1,0.4,5.2
46025,Clark County,3642,1877,1765,1.8,94.8,0.0,1.7,0.9,0.0,2713,47500,4771,2119,13.3,24.6,37.3,15.3,18.4,15.6,13.3,68.6,11.1,0.0,9.6,2.0,8.8,20.7,1773,66.2,14.0,18.7,1.1,4.0
46027,Clay County,13907,6955,6952,2.7,88.2,1.5,2.9,2.5,0.0,11213,41773,2505,2102,24.7,16.1,40.8,21.2,22.2,7.1,8.7,69.4,7.6,0.6,13.2,3.0,6.2,15.0,7624,64.7,29.6,5.5,0.2,6.4
46029,Codington County,27963,14163,13800,2.1,93.2,0.5,1.7,0.6,0.0,21007,52025,2248,1744,11.7,12.5,27.4,15.7,27.9,10.2,18.7,83.9,7.6,0.3,2.1,0.8,5.4,14.4,15522,81.5,11.0,7.2,0.3,2.5
46031,Corson County,4177,2125,2052,0.7,29.3,0.5,67.4,0.2,0.0,2692,32260,3268,1914,47.9,61.7,43.1,13.1,17.8,15.9,10.2,62.7,5.5,0.5,5.6,0.8,24.8,21.0,1260,39.2,34.8,24.4,1.5,28.7
46033,Custer County,8519,4275,4244,3.0,90.6,0.2,3.6,0.4,0.0,6979,56449,5055,2668,13.2,25.1,37.5,14.7,23.6,13.8,10.4,69.4,12.1,0.7,7.8,2.1,8.0,26.1,3961,66.8,18.3,14.0,1.0,4.0
46035,Davison County,19753,9895,9858,2.5,91.7,0.6,3.0,0.1,0.0,15012,48665,4584,2044,12.6,18.4,33.1,14.2,21.3,15.7,15.6,82.5,8.6,1.2,2.4,1.5,3.9,12.7,10389,81.8,11.3,6.8,0.1,3.9
46037,Day County,5524,2834,2690,2.0,86.3,0.0,10.0,0.1,0.0,4325,43902,3177,2657,16.5,28.1,35.4,18.3,18.4,11.7,16.3,73.2,6.3,0.3,5.8,1.2,13.2,18.7,2776,67.9,15.6,15.8,0.8,1.5
46039,Deuel County,4282,2246,2036,2.8,96.8,0.0,0.1,0.0,0.0,3252,57969,4442,2158,10.0,13.0,36.8,11.4,17.3,18.0,16.4,75.3,12.7,0.0,1.7,0.5,9.8,19.5,2307,75.0,9.9,15.0,0.0,1.8
46041,Dewey County,5709,2823,2886,1.3,20.4,0.1,77.1,0.1,0.0,3669,41190,3055,1199,31.4,36.4,43.2,17.0,20.1,14.3,5.5,77.3,3.2,0.3,2.9,0.8,15.6,17.3,1950,33.7,50.2,14.8,1.4,25.9
46043,Douglas County,2940,1448,1492,0.6,94.9,0.0,2.7,0.0,0.0,2237,52543,3338,2593,8.2,9.4,36.6,16.6,21.3,13.7,11.8,77.3,3.6,0.5,3.9,1.8,12.9,13.6,1477,68.4,11.8,19.6,0.3,0.9
46045,Edmunds County,3971,2008,1963,1.7,97.4,0.1,0.4,0.1,0.0,2998,65380,7943,2395,5.9,1.1,36.6,13.7,20.3,16.3,13.1,75.2,11.1,0.0,4.7,0.6,8.4,16.8,2006,68.0,15.0,16.7,0.3,1.6
46047,Fall River County,6783,3424,3359,4.0,85.2,0.7,4.9,1.6,0.0,5478,48862,4485,1561,15.0,24.5,32.7,25.4,17.2,10.7,14.0,72.9,8.3,0.3,9.9,1.8,6.8,15.8,3208,62.7,29.4,7.6,0.2,2.6
46049,Faulk County,2327,1196,1131,1.2,94.7,0.0,3.8,0.1,0.0,1839,46750,12352,3473,10.9,0.9,41.3,20.4,15.3,11.9,11.1,65.8,7.1,0.0,14.2,0.3,12.6,12.2,1120,53.2,22.2,24.4,0.2,0.3
46051,Grant County,7133,3652,3481,1.8,93.9,0.0,3.4,0.1,0.0,5396,56276,3458,2619,7.6,8.4,28.5,15.9,24.8,17.9,12.9,78.4,11.8,0.1,4.2,0.6,4.8,12.3,3718,78.9,11.4,9.6,0.2,3.3
46053,Gregory County,4209,2156,2053,1.5,88.4,0.0,7.0,0.5,0.0,3212,42679,4603,1968,15.3,21.3,35.2,17.4,22.1,15.7,9.6,76.1,8.9,0.0,6.8,0.5,7.8,14.2,2017,67.8,15.7,16.2,0.2,0.8
46055,Haakon County,2084,1047,1037,0.5,88.7,0.0,7.7,0.0,0.0,1554,38873,2266,3016,17.2,27.3,37.4,13.1,18.7,16.5,14.3,67.5,3.6,0.0,10.1,0.0,18.8,11.5,902,62.4,13.3,23.7,0.6,2.2
46057,Hamlin County,5911,3024,2887,3.7,94.5,0.2,0.7,0.2,0.0,3962,61784,1902,1586,5.6,4.7,31.7,13.2,18.9,17.2,19.0,72.1,11.3,0.0,7.5,2.3,6.9,19.9,2874,77.5,9.3,12.9,0.3,1.7
46059,Hand County,3303,1673,1630,0.7,97.9,0.0,0.0,0.2,0.0,2602,50720,3525,3373,8.2,11.6,39.7,13.4,20.6,20.7,5.6,74.8,5.7,0.8,4.7,0.8,13.1,13.3,1697,70.5,11.9,17.3,0.3,1.5
46061,Hanson County,3404,1714,1690,0.0,93.9,4.6,1.1,0.0,0.0,2316,62448,4254,3214,6.5,5.7,35.8,14.7,19.5,14.2,15.9,80.0,9.1,0.2,2.6,0.4,7.7,19.5,1638,74.4,13.9,11.3,0.4,0.4
46063,Harding County,1281,684,597,1.8,93.8,1.3,1.9,0.7,0.0,957,55972,6862,4077,12.9,10.5,38.0,10.2,19.4,21.4,11.1,51.7,12.2,0.0,8.2,0.8,27.2,22.7,660,57.1,16.5,19.8,6.5,1.5
46065,Hughes County,17572,8599,8973,2.9,83.1,0.5,10.3,0.4,0.0,13222,59741,3337,1946,11.3,17.9,43.1,14.2,24.3,11.1,7.2,82.3,10.9,0.8,3.4,0.3,2.1,10.8,9402,62.2,33.1,4.6,0.1,2.1
46067,Hutchinson County,7277,3616,3661,1.9,95.1,0.4,1.4,0.2,0.0,5474,49583,2661,3178,13.0,17.1,35.0,16.1,20.3,15.3,13.3,71.9,5.3,0.0,7.9,2.3,12.7,16.6,3592,70.7,11.7,17.2,0.4,5.3
46069,Hyde County,1373,686,687,0.8,85.6,0.0,9.5,0.0,0.0,1082,53696,6642,3674,14.2,26.0,41.3,14.6,18.0,17.9,8.2,63.5,5.4,1.7,11.9,3.6,14.0,15.7,683,63.3,19.6,16.1,1.0,3.0
46071,Jackson County,3275,1659,1616,0.7,42.9,0.2,52.0,0.4,0.0,2264,38041,4780,2287,44.8,52.4,45.3,16.0,18.6,13.7,6.4,56.4,6.5,1.7,13.8,1.2,20.4,12.6,1105,42.7,31.4,23.7,2.2,12.0
46073,Jerauld County,2034,955,1079,2.2,96.3,0.0,0.4,0.0,0.0,1522,49882,2919,7622,8.9,5.4,30.2,16.5,18.0,15.7,19.6,73.6,11.8,1.4,6.1,1.5,5.6,15.5,987,70.6,9.8,19.6,0.0,0.2
46075,Jones County,740,375,365,0.0,100.0,0.0,0.0,0.0,0.0,617,39432,8759,3319,10.8,0.0,44.7,9.8,15.1,17.2,13.3,61.6,4.5,0.0,20.4,1.9,11.6,14.9,430,55.3,16.3,22.6,5.8,2.9
46077,Kingsbury County,5000,2527,2473,2.1,95.1,0.0,0.5,1.6,0.0,3898,58794,3490,2037,9.5,10.8,38.8,12.6,17.2,15.2,16.2,73.8,9.1,0.2,5.0,0.5,11.4,20.6,2662,69.1,13.2,17.1,0.6,1.8
46079,Lake County,12350,6387,5963,2.3,93.8,0.6,0.0,1.9,0.0,9569,58467,3832,2622,15.5,23.4,33.9,19.4,20.9,9.4,16.5,79.2,6.6,0.2,4.0,1.5,8.5,16.0,6498,73.5,15.6,10.6,0.4,3.9
46081,Lawrence County,25018,12441,12577,3.2,91.4,0.9,2.2,0.9,0.2,20114,49275,3202,1648,12.4,11.8,31.3,22.9,23.0,13.2,9.6,72.5,13.2,0.5,8.9,1.0,3.9,17.1,13067,77.0,17.3,5.6,0.1,3.1
46083,Lincoln County,53147,26250,26897,1.9,93.6,1.0,0.5,1.1,0.0,37319,81849,2971,1981,3.0,2.4,44.5,11.1,26.9,8.3,9.3,87.6,6.4,0.0,0.8,0.7,4.4,19.6,29254,85.0,9.4,5.4,0.2,2.1
46085,Lyman County,3882,2024,1858,2.2,56.4,0.1,39.6,0.5,0.1,2782,47113,4914,1338,21.7,31.6,35.9,16.5,23.5,14.9,9.2,75.5,12.2,0.6,5.2,0.3,6.1,11.8,1756,51.8,37.1,10.8,0.3,6.3
46087,McCook County,5515,2784,2731,3.2,94.6,0.8,0.5,0.0,0.0,3964,60808,2338,2738,9.3,10.1,33.2,16.6,24.0,15.1,11.2,78.5,8.8,0.8,3.5,0.6,7.8,24.7,2882,75.8,9.9,13.8,0.6,2.5
46089,McPherson County,2366,1180,1186,2.2,89.8,0.1,6.6,0.6,0.0,1905,41674,5079,3678,17.0,9.0,35.7,18.7,19.8,15.3,10.6,67.2,7.9,0.2,8.2,0.9,15.6,18.4,1040,55.6,16.5,26.3,1.6,6.7
46091,Marshall County,4759,2477,2282,7.4,83.8,0.5,7.3,0.0,0.0,3414,60948,4258,2205,8.3,7.9,36.0,13.0,17.2,16.6,17.2,76.7,9.7,0.0,2.9,1.9,8.8,17.1,2471,71.5,15.2,12.8,0.5,1.6
46093,Meade County,27066,14134,12932,4.1,88.0,1.8,2.3,1.2,0.0,20389,54286,3943,1372,8.8,10.5,31.9,18.0,22.6,14.4,13.1,77.3,12.3,0.2,1.8,0.6,7.7,20.5,13830,72.8,16.9,9.9,0.4,1.3
46095,Mellette County,2062,1017,1045,5.2,41.1,0.0,53.0,0.0,0.0,1423,31165,2323,1654,42.6,61.5,42.9,17.8,12.6,15.4,11.2,69.6,9.0,0.3,10.0,0.0,11.2,21.9,680,36.5,44.3,19.3,0.0,6.6
46097,Miner County,2255,1167,1088,2.1,95.2,1.0,0.1,0.3,0.0,1648,50658,4509,4110,11.6,16.7,36.5,15.0,19.4,12.0,17.2,76.3,7.9,0.5,4.4,2.0,8.9,21.3,1116,70.7,9.5,19.7,0.1,2.0
