CountyId,State,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
47001,Tennessee,Anderson County,75538,36803,38735,2.7,89.6,3.4,0.1,1.4,0.1,58291,47206,2109,26972,1169,16.3,24.8,33.6,19.0,23.6,10.1,13.7,86.8,8.4,0.1,0.8,0.9,3.0,23.3,32213,76.1,17.0,6.8,0.1,6.9
47003,Tennessee,Bedford County,46854,23127,23727,11.8,77.8,6.6,0.1,0.4,0.1,32634,47117,2721,22953,1446,16.9,23.4,24.7,14.8,21.5,12.0,27.0,81.8,12.6,0.1,1.1,1.0,3.5,25.1,21387,78.5,12.7,8.6,0.2,5.6
47005,Tennessee,Benton County,16154,7794,8360,2.2,93.2,3.4,0.3,0.0,0.0,12823,33702,3317,21282,1224,22.3,28.4,23.2,19.3,21.3,12.2,23.9,87.0,9.7,0.3,0.2,1.7,1.1,24.4,5721,72.5,20.2,7.3,0.0,9.1
47007,Tennessee,Bledsoe County,14413,8385,6028,2.1,89.2,4.0,1.1,0.3,0.0,11715,40450,2756,21402,2589,20.7,26.3,25.5,15.1,18.8,19.0,21.6,76.6,13.8,0.6,3.9,1.0,4.1,30.4,5270,70.1,19.5,10.4,0.0,8.4
47009,Tennessee,Blount County,127135,61640,65495,3.1,91.4,2.5,0.3,0.7,0.1,98074,51172,1719,28334,1200,13.0,19.4,32.8,15.9,26.3,10.5,14.5,85.6,8.5,0.2,0.8,1.0,4.0,24.8,58333,81.7,11.5,6.6,0.2,5.9
47011,Tennessee,Bradley County,103666,50468,53198,5.8,86.5,4.9,0.1,1.1,0.0,76964,46381,2205,25144,955,18.0,26.2,31.9,16.9,22.4,10.1,18.8,83.7,8.8,0.3,2.2,1.2,3.8,21.1,46406,82.5,10.5,6.7,0.3,7.2
47013,Tennessee,Campbell County,39824,19411,20413,1.2,96.6,0.5,0.3,0.4,0.0,31601,35377,1746,21282,1472,20.6,31.1,23.5,17.0,24.1,15.7,19.7,84.9,11.6,0.1,0.9,0.3,2.3,27.1,15080,77.9,14.7,7.3,0.1,8.0
47015,Tennessee,Cannon County,13839,6738,7101,2.0,94.5,1.5,0.5,0.1,0.0,10692,47457,3713,24595,3584,17.0,24.5,28.9,10.7,25.7,12.7,22.0,84.4,9.0,0.0,1.0,0.2,5.4,33.4,6072,74.6,13.0,12.4,0.0,6.6
47017,Tennessee,Carroll County,28137,13758,14379,2.4,84.9,9.8,0.3,0.3,0.1,21918,38201,2475,20557,1239,19.8,23.7,28.0,17.5,21.0,11.9,21.5,87.0,5.5,0.1,2.2,2.5,2.7,23.9,11050,75.5,17.1,7.1,0.3,6.9
47019,Tennessee,Carter County,56500,27736,28764,1.7,95.1,1.4,0.3,0.4,0.0,45385,34625,1665,21001,1132,24.5,36.4,27.4,21.2,22.9,11.1,17.5,86.7,6.2,0.2,1.3,1.4,4.4,23.8,22819,75.3,16.6,8.1,0.1,6.3
47021,Tennessee,Cheatham County,39713,19642,20071,2.7,93.4,1.3,0.2,0.5,0.3,30264,56150,3116,25673,962,12.7,18.0,32.3,16.0,21.9,13.2,16.5,84.0,9.1,0.4,1.0,1.2,4.4,32.0,19170,76.4,14.5,9.0,0.1,5.5
47023,Tennessee,Chester County,17097,8199,8898,2.4,86.0,9.7,0.0,0.5,0.0,12924,43740,6015,20497,1533,18.2,22.9,33.0,14.8,24.8,10.6,16.8,84.1,8.3,0.2,2.7,1.7,3.0,24.8,7009,78.1,15.5,6.4,0.0,10.3
47025,Tennessee,Claiborne County,31566,15284,16282,1.2,95.6,1.0,0.1,0.6,0.1,25282,35428,1980,20184,1101,22.4,30.5,29.0,16.8,18.3,13.9,22.0,85.1,9.6,0.1,1.0,0.6,3.8,24.5,11893,79.5,12.6,7.6,0.3,8.5
47027,Tennessee,Clay County,7684,3777,3907,1.6,94.8,2.1,0.7,0.5,0.0,6110,30801,3356,17667,1713,26.6,33.8,27.6,21.2,15.6,13.7,21.9,88.8,6.5,0.1,1.1,0.5,3.0,27.9,2568,74.0,17.5,8.1,0.4,5.3
47029,Tennessee,Cocke County,35262,17221,18041,2.2,93.6,1.6,0.4,0.0,0.0,27897,32027,2163,20189,1255,25.0,39.9,22.4,23.5,22.7,9.3,22.0,84.6,10.8,0.0,0.9,1.2,2.4,28.4,14192,78.4,13.8,7.6,0.2,9.6
47031,Tennessee,Coffee County,54074,26397,27677,4.1,89.2,2.1,0.1,0.9,0.0,40175,46614,1450,24748,1286,15.2,21.7,28.2,13.2,22.8,11.2,24.7,85.7,8.7,0.0,1.3,0.6,3.6,23.1,23291,77.3,14.8,7.7,0.2,5.8
47033,Tennessee,Crockett County,14554,6915,7639,10.1,74.7,13.2,0.2,0.2,0.0,10593,39692,4450,21056,1292,17.7,24.1,30.0,14.8,24.2,12.2,18.9,90.8,6.0,0.0,0.9,0.4,1.9,23.2,6048,79.4,14.1,6.4,0.1,5.9
47035,Tennessee,Cumberland County,58178,28515,29663,2.8,94.7,0.7,0.5,0.6,0.0,47055,40994,1588,23668,915,16.0,24.8,27.3,18.5,23.4,11.9,19.0,84.3,10.5,0.2,1.1,0.8,3.2,22.2,20741,77.5,13.4,8.3,0.7,7.6
47037,Tennessee,Davidson County,678322,327080,351242,10.1,56.4,27.3,0.3,3.5,0.1,483926,53419,741,32347,431,16.9,27.8,40.6,16.9,24.1,7.3,11.1,79.2,9.8,2.1,2.0,1.2,5.7,24.5,364089,82.4,10.5,6.9,0.1,5.3
47039,Tennessee,Decatur County,11681,5744,5937,3.2,91.7,2.9,0.0,0.3,0.0,9127,36427,4527,21098,1566,22.6,34.3,30.0,18.7,20.6,12.5,18.1,82.4,9.2,0.3,0.9,1.7,5.5,26.9,4497,67.4,20.6,11.4,0.5,9.7
47041,Tennessee,DeKalb County,19380,9705,9675,7.6,88.9,1.3,0.0,0.6,0.1,14244,40690,2425,25443,2963,18.9,30.6,33.1,10.3,17.6,7.9,31.1,80.9,16.1,0.0,0.6,1.1,1.3,27.9,8003,77.5,16.5,5.7,0.3,5.6
47043,Tennessee,Dickson County,51341,25100,26241,3.3,89.9,3.9,0.3,0.4,0.0,38651,47398,1843,25211,1889,14.5,19.1,28.9,16.1,24.6,13.1,17.4,81.8,11.3,0.6,2.1,0.8,3.3,31.7,22454,80.1,13.3,6.6,0.0,4.7
47045,Tennessee,Dyer County,37751,18201,19550,3.3,80.3,13.4,0.4,0.7,0.1,28280,44386,2404,24695,1974,18.1,24.1,30.5,18.2,19.6,8.3,23.5,89.1,6.5,0.0,0.7,1.0,2.7,20.2,16155,78.1,15.0,7.0,0.0,7.3
47047,Tennessee,Fayette County,39336,19329,20007,2.5,68.3,27.7,0.3,0.7,0.0,30999,57919,2472,30471,1380,14.4,22.1,33.9,13.0,24.9,12.7,15.5,86.4,7.3,0.0,0.5,1.4,4.3,33.1,17508,79.6,12.5,7.8,0.1,7.9
47049,Tennessee,Fentress County,17940,8846,9094,1.4,96.7,0.2,0.1,0.4,0.0,13992,32616,2871,18171,1514,23.0,28.4,21.2,25.4,18.2,16.0,19.2,80.4,11.4,0.1,1.6,0.7,5.7,23.2,6577,68.9,17.4,13.0,0.7,7.3
47051,Tennessee,Franklin County,41397,20224,21173,3.2,88.8,4.9,0.2,0.6,0.0,32345,46882,2380,25637,1393,15.0,17.4,29.5,16.0,21.7,11.0,21.8,82.1,10.9,0.0,3.7,0.8,2.4,22.4,17632,77.9,16.4,5.6,0.1,6.9
47053,Tennessee,Gibson County,49222,23447,25775,2.6,76.8,17.7,0.4,0.3,0.1,36905,41315,2309,21858,869,17.1,25.8,29.4,19.0,24.2,8.9,18.3,89.3,6.0,0.1,1.2,2.0,1.5,23.2,20523,80.1,12.2,7.5,0.2,6.1
47055,Tennessee,Giles County,29024,14119,14905,2.0,84.8,9.8,0.0,0.6,0.0,22652,43925,3053,22994,1238,15.9,18.9,25.7,17.0,19.8,10.0,27.5,84.1,9.8,0.0,1.7,1.7,2.7,25.7,12368,76.9,15.1,7.9,0.2,5.9
47057,Tennessee,Grainger County,22942,11383,11559,3.0,94.9,0.4,0.3,0.3,0.0,17764,40088,3597,20966,1058,18.7,24.7,24.9,15.6,19.4,16.5,23.6,79.2,13.7,0.5,1.2,0.7,4.7,32.9,9482,75.5,13.8,10.6,0.2,6.4
47059,Tennessee,Greene County,68520,33482,35038,2.7,93.3,2.2,0.3,0.4,0.0,54291,38266,1638,21960,1081,17.2,23.9,27.7,18.3,22.4,8.5,23.2,86.1,7.7,0.0,1.2,1.8,3.2,22.8,28001,77.0,16.0,6.6,0.3,7.2
47061,Tennessee,Grundy County,13359,6575,6784,1.2,81.2,0.5,0.1,0.2,0.1,10299,31919,3484,15824,1127,28.5,38.8,21.5,20.5,17.0,16.6,24.4,82.4,7.5,0.0,3.2,0.7,6.2,28.1,4172,73.8,14.8,11.2,0.2,12.2
47063,Tennessee,Hamblen County,63465,31109,32356,11.5,81.9,3.4,0.1,1.0,0.0,45559,42042,2832,21962,1135,19.8,28.9,27.6,15.7,21.3,8.8,26.6,84.3,10.3,0.2,0.2,2.2,2.9,22.1,26084,83.7,10.6,5.5,0.1,7.6
47065,Tennessee,Hamilton County,354589,170993,183596,5.3,71.4,19.3,0.1,2.0,0.0,270508,50273,1051,29711,628,14.5,21.4,38.3,16.2,25.4,6.8,13.4,82.7,8.1,1.0,2.2,1.0,5.0,21.4,167211,80.5,13.3,6.0,0.2,5.9
47067,Tennessee,Hancock County,6605,3273,3332,0.9,97.1,0.5,0.7,0.3,0.0,5189,29619,3323,19396,2655,25.7,32.8,24.5,21.4,16.0,16.0,22.2,81.5,10.2,1.8,1.6,1.2,3.6,34.3,2268,69.9,18.6,11.5,0.0,10.0
47069,Tennessee,Hardeman County,25784,14076,11708,1.7,54.7,41.5,0.3,0.7,0.0,20580,36686,2852,16938,1003,21.2,27.3,27.6,20.3,17.6,8.1,26.3,83.8,9.9,0.2,0.5,0.4,5.2,28.7,8181,68.3,25.0,6.7,0.0,15.8
47071,Tennessee,Hardin County,25813,12669,13144,2.3,92.0,3.7,0.1,1.0,0.1,20190,39092,2401,23328,1910,21.5,28.4,24.2,19.1,22.9,11.4,22.5,82.9,6.0,0.3,0.7,1.8,8.4,24.4,9716,71.8,16.8,11.2,0.1,9.5
47073,Tennessee,Hawkins County,56402,27525,28877,1.4,95.3,1.3,0.2,0.5,0.0,44330,38728,1425,22141,1103,19.3,30.1,23.9,19.6,22.6,11.5,22.4,89.0,6.8,0.6,0.3,1.1,2.2,25.3,21867,80.7,13.0,6.3,0.0,7.4
47075,Tennessee,Haywood County,17944,8404,9540,4.3,44.4,50.0,0.0,0.1,0.1,13622,36118,1856,21453,2276,19.1,26.9,22.8,18.6,23.4,9.2,25.9,88.7,7.9,0.0,0.6,1.3,1.4,22.8,7686,76.6,17.2,6.2,0.0,6.8
47077,Tennessee,Henderson County,27889,13446,14443,2.2,87.6,8.0,0.0,0.2,0.0,21226,42711,3237,21344,1461,19.5,28.0,29.3,14.5,21.4,12.9,21.9,85.8,8.3,0.2,1.0,1.0,3.7,26.5,11255,75.7,17.5,6.8,0.0,9.5
47079,Tennessee,Henry County,32263,15627,16636,2.3,87.5,9.0,0.2,0.1,0.0,25308,40415,1748,22952,1505,19.7,30.7,27.1,16.4,24.7,9.2,22.7,86.0,6.3,0.0,1.2,2.6,3.9,20.9,12680,74.8,14.8,10.1,0.3,6.7
47081,Tennessee,Hickman County,24502,12830,11672,2.3,90.6,5.0,0.0,0.2,0.0,18999,39333,2513,20936,3200,19.7,24.6,25.4,17.1,20.3,16.2,21.1,79.4,11.3,0.3,2.0,2.6,4.4,36.3,9659,74.9,14.9,10.1,0.1,6.2
47083,Tennessee,Houston County,8188,4106,4082,0.8,92.2,4.0,0.5,0.3,0.0,6313,41820,2677,20819,2459,17.1,26.9,17.5,21.1,18.3,17.1,26.0,82.1,11.0,0.3,3.0,0.4,3.2,34.4,3049,69.9,20.2,9.8,0.1,6.6
47085,Tennessee,Humphreys County,18281,8985,9296,2.3,92.9,3.6,0.4,0.2,0.1,14310,40998,2486,23498,1812,18.4,26.6,30.5,15.3,18.6,12.6,23.0,86.1,9.9,0.0,0.8,1.4,1.8,27.5,7202,75.3,16.4,8.2,0.2,6.4
47087,Tennessee,Jackson County,11573,5827,5746,1.9,95.7,0.6,0.0,0.0,0.0,9372,33933,2842,18643,1366,22.3,37.6,24.7,16.0,21.6,17.6,20.0,87.5,8.3,0.0,1.2,0.9,2.1,32.0,4106,73.1,17.5,8.4,1.1,9.3
47089,Tennessee,Jefferson County,52887,25886,27001,3.5,92.5,1.8,0.2,0.6,0.0,40981,45641,2312,23724,1510,13.8,18.2,26.2,19.1,23.5,10.4,20.7,78.3,14.2,0.3,1.6,0.9,4.7,25.8,23110,77.3,15.2,7.5,0.1,6.2
47091,Tennessee,Johnson County,17846,9625,8221,1.9,92.2,3.8,0.5,0.4,0.0,14576,32994,3833,19183,1778,25.3,39.1,25.8,18.3,23.7,14.3,17.9,84.5,7.2,0.6,1.3,1.8,4.7,24.8,5595,67.0,23.4,9.5,0.2,6.0
47093,Tennessee,Knox County,452286,219839,232447,4.0,82.7,8.8,0.2,2.1,0.0,344306,52458,751,30541,503,15.8,19.9,40.5,17.3,25.4,6.8,10.0,83.9,7.7,0.7,1.8,1.0,4.9,21.9,222748,79.1,14.3,6.4,0.1,5.5
47095,Tennessee,Lake County,7588,4761,2827,2.2,67.1,29.1,0.1,0.2,0.1,6383,31993,5436,14232,1553,29.9,47.3,24.4,26.8,19.4,9.1,20.4,81.9,8.8,0.0,4.9,1.8,2.6,18.7,1906,59.5,31.7,7.8,1.0,11.3
47097,Tennessee,Lauderdale County,26497,13524,12973,2.4,60.9,33.6,0.6,0.4,0.0,20052,35551,1919,17178,875,23.1,30.5,24.2,21.0,21.1,9.2,24.4,89.5,6.3,0.5,1.5,0.9,1.3,23.7,9096,71.2,21.7,6.8,0.3,9.9
