CountyId,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomeErr,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
49001,Beaver County,6414,3296,3118,10.9,88.7,0.0,0.1,0.2,0.0,4165,47878,4577,1544,10.5,15.8,23.9,18.7,25.1,15.9,16.4,80.2,12.5,0.2,2.6,1.0,3.4,16.0,2653,77.1,16.6,5.8,0.5,4.7
49003,Box Elder County,52182,26423,25759,9.1,87.3,0.5,1.0,0.8,0.1,34484,58835,2580,635,10.2,13.0,31.5,14.4,21.0,10.2,22.9,77.7,14.8,0.7,1.5,1.3,4.0,23.5,22319,79.4,15.3,5.0,0.3,5.5
49005,Cache County,120288,60247,60041,10.5,83.8,0.7,0.4,2.1,0.4,78436,53812,1423,581,15.2,14.2,37.9,15.6,22.8,7.8,16.0,74.5,11.5,2.1,4.0,2.7,5.2,17.3,56905,77.5,18.0,4.4,0.2,3.6
49007,Carbon County,20512,10088,10424,13.2,83.3,0.7,0.8,0.4,0.2,14717,46994,2951,957,16.2,19.2,27.9,19.4,23.2,15.0,14.5,80.9,11.1,0.5,3.4,0.8,3.3,17.7,8906,73.7,21.5,4.3,0.4,5.4
49009,Daggett County,702,425,277,3.3,94.9,0.1,0.9,0.0,0.0,539,85000,41001,9141,4.0,0.0,19.8,46.4,4.8,13.0,16.0,46.6,2.8,0.0,42.4,0.0,8.1,18.6,293,73.7,21.8,4.4,0.0,1.0
49011,Davis County,334977,168534,166443,9.2,84.5,1.2,0.3,1.8,0.6,217453,75961,1280,463,6.2,7.1,40.6,14.1,26.6,7.2,11.6,79.6,9.5,2.5,1.4,1.4,5.5,22.5,155828,78.0,18.0,3.9,0.1,3.3
49013,Duchesne County,20259,10320,9939,8.1,85.4,0.1,4.0,0.5,0.4,12892,63000,1812,839,12.7,15.4,30.7,14.9,17.5,20.0,17.0,81.3,7.7,0.6,2.4,1.2,6.7,20.6,8026,75.9,18.9,4.8,0.4,6.2
49015,Emery County,10410,5306,5104,6.2,91.4,0.1,0.7,0.6,0.0,7098,51852,1883,924,12.9,20.2,29.0,20.9,18.5,17.5,14.1,81.9,7.5,1.3,1.7,0.7,6.8,19.8,4030,68.6,24.1,7.2,0.1,4.4
49017,Garfield County,5020,2633,2387,5.6,89.5,0.0,2.7,0.2,0.5,3699,51700,7983,2295,13.1,17.9,26.4,26.8,25.1,15.8,6.0,73.4,11.0,0.0,5.7,2.7,7.3,14.0,2212,69.3,23.3,7.4,0.0,4.6
49019,Grand County,9544,4823,4721,10.0,88.1,0.2,1.1,0.4,0.0,7123,46658,5393,2645,12.7,18.7,28.0,30.9,20.1,14.6,6.5,67.9,11.6,0.1,4.7,5.2,10.4,15.6,4859,75.6,14.1,10.3,0.0,6.4
