CountyId,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomeErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
50001,Addison County,36825,18214,18611,2.2,93.0,0.9,0.3,1.9,0.0,29510,61875,2338,7.8,9.0,40.8,16.4,18.2,13.1,11.5,72.5,8.6,0.7,7.6,1.2,9.4,23.8,19872,77.9,10.3,11.5,0.3,4.4
50003,Bennington County,36054,17689,18365,1.8,94.7,0.8,0.1,0.4,0.0,28655,52251,3311,12.8,20.1,36.1,18.7,21.6,10.1,13.5,75.6,8.9,0.5,4.9,2.0,8.0,19.3,17605,77.6,10.8,11.4,0.2,4.4
50005,Caledonia County,30576,15366,15210,1.5,95.1,0.9,0.2,0.6,0.0,24155,47371,1846,12.3,16.4,34.8,20.4,20.0,12.6,12.3,76.4,10.7,0.1,3.8,1.2,7.8,26.0,14475,74.2,13.8,10.9,1.1,4.9
50007,Chittenden County,160985,78928,82057,2.2,89.2,2.5,0.2,3.8,0.0,125467,66906,2119,11.3,12.2,47.6,16.0,21.2,6.5,8.6,73.3,8.0,2.6,7.8,2.8,5.4,21.1,90054,80.0,14.3,5.6,0.1,4.1
50009,Essex County,6203,3135,3068,1.3,95.6,1.0,0.3,0.5,0.0,5010,38767,2389,15.5,19.5,27.8,24.6,17.5,13.5,16.5,79.4,10.3,0.1,3.0,0.9,6.2,26.0,2784,71.0,19.1,9.6,0.2,5.1
50011,Franklin County,48816,24251,24565,1.4,94.2,0.6,0.5,0.3,0.0,37192,62214,2360,8.0,9.1,36.2,16.1,21.9,11.7,14.2,81.2,9.3,0.5,3.2,0.8,4.9,25.3,25865,74.8,17.5,7.6,0.1,4.4
50013,Grand Isle County,6950,3432,3518,1.8,93.2,0.2,0.7,0.5,0.0,5668,66111,3036,7.5,10.5,37.5,15.4,24.7,10.6,11.7,75.8,12.4,0.2,1.5,0.7,9.3,33.4,3766,77.3,13.6,8.9,0.2,4.9
50015,Lamoille County,25191,12504,12687,1.6,94.9,0.8,0.8,0.6,0.0,19443,54899,2802,14.0,19.4,37.6,21.1,20.6,11.5,9.2,78.0,9.5,0.5,4.1,1.1,6.9,25.4,13437,77.1,12.1,10.5,0.3,3.8
50017,Orange County,28901,14358,14543,1.3,95.7,0.7,0.4,0.3,0.1,23247,56584,2696,11.5,15.8,38.4,15.7,20.9,14.1,10.9,76.3,9.8,0.5,3.8,1.3,8.3,27.0,15343,71.9,14.6,13.3,0.2,4.3
50019,Orleans County,26951,13534,13417,1.4,95.5,0.4,0.5,0.3,0.0,21168,45664,1944,14.2,15.7,33.5,17.3,21.8,14.1,13.3,78.0,9.7,0.1,3.0,1.3,7.9,24.2,12227,70.9,16.1,12.0,1.0,4.4
50021,Rutland County,59676,29275,30401,1.4,95.5,0.7,0.3,1.1,0.0,48263,52635,1977,11.4,14.6,34.2,19.5,23.1,10.8,12.5,79.9,7.9,1.0,5.1,0.9,5.2,21.1,30152,77.6,13.8,8.4,0.2,4.7
50023,Washington County,58691,28997,29694,1.9,94.4,0.8,0.3,0.6,0.0,46565,60602,2838,11.8,18.1,44.7,15.6,22.2,9.3,8.2,74.8,9.3,1.1,6.1,1.4,7.2,22.9,31703,73.6,17.4,8.9,0.1,3.9
50025,Windham County,43332,21172,22160,2.2,93.5,0.8,0.1,1.0,0.1,34775,50831,1962,14.1,18.7,40.2,19.3,19.7,11.4,9.3,72.0,7.4,1.2,5.4,1.9,12.1,21.3,21882,74.7,12.9,12.2,0.2,5.6
50027,Windsor County,55485,27171,28314,1.5,95.0,0.7,0.2,0.8,0.1,44323,56828,2027,10.2,14.2,39.1,18.3,21.7,9.7,11.2,78.8,10.3,0.6,4.2,0.8,5.3,22.8,28099,78.8,12.8,8.1,0.3,4.5
