CountyId,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomeErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
51001,Accomack County,32840,16079,16761,8.8,60.3,28.3,0.3,0.7,0.0,24408,42260,2253,19.8,31.8,31.1,17.7,18.8,15.1,17.3,80.0,10.6,0.5,2.6,1.8,4.5,22.0,13837,74.6,18.1,7.1,0.2,5.4
51003,Albemarle County,105105,50283,54822,5.7,77.2,9.5,0.2,5.0,0.0,78224,72265,2910,9.8,11.0,54.0,15.5,18.7,6.2,5.6,76.9,8.6,1.8,3.4,1.8,7.6,21.9,50689,68.0,24.5,7.2,0.3,3.2
51005,Alleghany County,15489,7586,7903,1.4,91.9,5.5,0.0,0.1,0.1,12369,46020,4009,19.3,25.7,28.3,16.4,22.4,13.2,19.7,86.6,7.7,0.5,0.7,1.7,2.7,24.6,6225,81.6,12.2,6.0,0.2,4.4
51007,Amelia County,12802,6644,6158,1.1,72.4,23.7,0.3,0.1,0.0,10049,58535,5713,13.0,18.9,25.8,18.6,27.4,17.2,11.1,86.7,6.0,1.1,1.6,1.8,2.7,38.0,6166,76.1,15.8,6.7,1.3,3.3
51009,Amherst County,31819,15331,16488,2.3,75.5,17.6,0.2,0.6,0.0,25212,49677,3603,13.4,20.6,27.9,20.3,24.7,9.8,17.4,82.6,10.6,0.6,1.3,2.3,2.6,24.1,14506,78.6,16.2,5.0,0.1,5.6
51011,Appomattox County,15462,7507,7955,1.3,76.7,20.1,0.1,0.2,0.0,12017,54875,5421,14.4,22.2,33.2,16.8,23.3,12.9,13.9,80.1,10.1,0.5,1.8,2.4,5.1,31.9,6890,79.1,18.0,2.8,0.1,3.5
51013,Arlington County,229534,114403,115131,15.5,62.3,8.5,0.3,10.2,0.1,162937,112138,2139,8.2,10.0,69.0,10.5,13.8,4.1,2.7,53.4,6.2,26.0,5.0,2.8,6.6,28.6,143798,70.8,24.9,4.2,0.2,3.2
51015,Augusta County,74390,37695,36695,2.5,91.4,4.0,0.2,0.6,0.1,58894,59544,2220,8.8,11.9,32.8,16.7,22.9,9.3,18.3,85.7,7.1,0.4,1.0,0.9,5.0,23.7,34960,76.8,16.9,6.0,0.2,4.1
51017,Bath County,4458,2311,2147,5.7,85.3,2.7,0.0,0.3,0.0,3342,44483,3178,9.3,7.4,21.6,30.4,19.9,11.0,17.0,82.7,4.5,1.5,5.0,0.0,6.3,24.5,2073,81.5,17.0,1.5,0.0,9.1
51019,Bedford County,77319,38012,39307,2.0,88.2,7.0,0.1,1.3,0.0,60597,59405,1577,8.9,10.6,34.9,16.5,24.1,9.9,14.7,83.8,9.2,0.2,1.0,1.4,4.3,26.9,36735,81.7,13.2,5.0,0.1,4.4
51021,Bland County,6524,3617,2907,0.5,94.3,4.8,0.0,0.0,0.0,5455,46927,6003,8.3,13.5,23.7,21.4,29.8,5.4,19.8,88.9,5.2,0.6,0.8,1.8,2.8,32.8,2578,76.6,18.8,4.6,0.0,6.7
51023,Botetourt County,33149,16421,16728,1.6,93.0,3.0,0.3,0.9,0.0,26210,64733,3179,7.7,10.0,38.4,14.2,22.4,10.5,14.5,89.0,6.0,0.0,0.9,0.4,3.8,28.3,16102,80.4,13.9,5.6,0.0,3.8
51025,Brunswick County,16435,8557,7878,2.1,41.1,54.1,0.2,0.5,0.0,13253,40871,2708,20.9,40.0,26.3,22.2,22.9,13.6,15.0,84.3,8.5,0.2,1.8,2.9,2.3,29.2,6258,68.2,24.9,6.8,0.1,7.8
51027,Buchanan County,22611,11378,11233,0.3,95.4,2.8,0.5,0.5,0.0,18471,30828,1316,26.5,42.1,25.9,16.0,23.1,20.7,14.2,87.1,7.5,0.6,1.8,2.1,0.9,27.7,6679,78.3,17.6,4.1,0.0,8.6
51029,Buckingham County,17048,9465,7583,2.4,61.1,34.3,0.3,0.3,0.1,13682,46610,5105,16.6,21.4,27.8,22.8,20.0,16.6,12.7,81.1,11.6,1.0,1.5,1.2,3.6,35.5,6543,74.0,19.0,6.6,0.4,8.4
51031,Campbell County,55158,26745,28413,2.1,80.3,14.0,0.2,0.9,0.0,43082,48823,2634,11.7,13.7,32.6,16.5,23.8,10.8,16.3,85.9,8.0,0.0,0.7,1.2,4.2,25.3,26478,83.3,10.9,5.7,0.1,3.4
51033,Caroline County,29889,14807,15082,4.3,63.6,28.1,0.4,0.9,0.0,22632,60925,2456,11.9,19.7,28.8,18.1,26.4,12.0,14.7,79.5,11.8,0.3,4.1,1.5,2.9,35.6,13227,74.1,21.2,4.6,0.1,6.3
51035,Carroll County,29767,14993,14774,3.1,95.0,0.2,0.1,0.1,0.0,23614,41145,2793,14.6,16.9,27.1,16.8,23.3,14.1,18.8,83.9,10.9,0.0,1.0,0.1,4.1,25.8,13125,74.9,16.1,9.0,0.0,3.8
51036,Charles City County,7022,3437,3585,1.8,41.5,45.9,6.5,0.9,0.0,5842,55069,4060,13.2,23.1,23.0,19.7,23.7,12.8,20.8,82.0,9.9,0.7,2.9,1.4,3.2,32.7,3348,79.6,16.6,3.9,0.0,6.2
51037,Charlotte County,12176,5991,6185,2.1,67.5,29.6,0.1,0.1,0.0,9454,38350,2730,22.7,30.6,27.1,26.6,19.9,12.9,13.5,75.3,11.9,0.1,2.7,3.2,6.8,31.4,4929,69.9,21.7,8.2,0.2,6.8
51041,Chesterfield County,335594,161644,173950,8.2,62.8,22.4,0.2,3.4,0.0,242379,76969,1205,7.2,8.9,42.1,14.8,25.6,7.9,9.7,85.0,7.8,0.5,0.7,1.2,4.8,26.4,171886,77.3,18.1,4.5,0.1,5.6
51043,Clarke County,14331,7195,7136,4.8,86.9,4.9,0.4,1.0,0.0,11059,72129,6699,10.4,19.0,41.0,18.1,19.3,12.9,8.8,79.4,8.4,0.1,3.9,0.8,7.4,35.6,7087,71.8,18.5,9.6,0.2,3.3
51045,Craig County,5131,2525,2606,0.0,99.4,0.1,0.0,0.0,0.0,4155,53526,15331,9.3,7.5,25.5,18.8,22.2,11.2,22.3,79.7,14.4,0.0,0.1,2.0,3.8,37.6,2219,71.5,26.4,2.2,0.0,4.1
51047,Culpeper County,49795,25057,24738,9.7,71.1,13.6,0.3,1.4,0.0,35270,69693,2672,8.9,10.3,36.1,18.0,21.9,12.9,11.1,80.9,10.6,1.1,1.6,1.3,4.5,39.7,23377,76.1,17.1,6.6,0.1,5.9
51049,Cumberland County,9797,4830,4967,0.1,63.1,32.5,0.9,0.0,0.0,7791,43020,3238,21.8,42.3,30.1,16.1,22.6,15.0,16.2,78.2,14.1,0.2,0.0,2.6,4.9,40.7,4810,70.7,20.0,9.4,0.0,7.0
51051,Dickenson County,15181,7720,7461,0.8,97.8,0.8,0.0,0.0,0.0,12060,29916,3029,23.0,33.1,26.5,25.3,20.7,14.7,12.9,87.5,8.2,0.2,1.8,0.8,1.6,29.6,4577,66.7,27.8,5.5,0.0,5.6
51053,Dinwiddie County,28033,13849,14184,3.2,62.1,31.8,0.0,0.4,0.0,21702,54640,3190,14.8,21.4,27.0,20.9,24.0,11.8,16.4,86.3,7.4,0.3,1.8,1.9,2.3,29.2,13375,74.4,21.2,4.4,0.0,8.3
51057,Essex County,11083,4899,6184,3.4,54.9,37.8,1.0,0.2,0.0,8666,50629,3173,12.3,15.0,26.9,15.5,30.2,13.0,14.5,85.2,5.7,0.2,3.2,2.0,3.7,35.0,5272,75.7,18.9,5.0,0.3,5.6
51059,Fairfax County,1142004,565593,576411,16.2,51.7,9.3,0.1,18.8,0.0,724787,117515,1314,6.1,7.9,56.6,14.7,18.4,5.7,4.7,71.1,9.4,9.6,1.9,1.7,6.3,32.1,609859,73.6,20.8,5.5,0.1,4.5
51061,Fauquier County,68406,33858,34548,7.5,80.9,7.5,0.3,1.4,0.0,50064,94775,3957,6.2,8.1,42.8,16.6,20.8,12.4,7.4,79.9,8.9,1.2,1.5,1.2,7.3,39.8,34893,73.4,19.6,6.8,0.2,4.0
51063,Floyd County,15594,7842,7752,2.8,93.7,2.5,0.2,0.0,0.0,12273,48396,4500,12.0,11.5,30.7,15.6,19.1,15.8,18.9,77.2,12.7,0.6,1.5,1.5,6.5,31.6,7210,76.3,14.6,8.6,0.5,5.5
51065,Fluvanna County,26109,11928,14181,3.3,78.7,13.5,0.1,0.7,0.0,20304,67964,4057,6.1,5.3,45.0,14.3,22.6,10.2,7.8,76.9,15.4,0.2,0.7,0.6,6.2,33.4,12127,72.4,21.3,6.1,0.2,4.8
51067,Franklin County,56277,27631,28646,2.7,87.1,7.9,0.2,0.4,0.0,44696,51208,3353,14.8,22.5,32.8,15.3,24.1,11.5,16.2,79.4,10.1,0.5,2.1,1.5,6.4,30.2,25460,80.6,13.1,6.2,0.1,5.4
51069,Frederick County,83784,41634,42150,7.8,84.5,4.0,0.3,1.4,0.1,61331,71037,1954,5.6,5.6,37.3,13.3,24.2,11.5,13.7,83.0,10.5,0.2,0.9,0.8,4.6,31.1,42721,78.1,16.5,5.3,0.0,4.1
51071,Giles County,16867,8273,8594,1.6,95.1,2.4,0.2,0.2,0.1,13333,49734,2997,11.3,11.9,25.2,20.4,20.8,12.3,21.4,83.4,12.2,0.1,1.0,1.5,1.8,24.9,7545,75.6,21.1,3.2,0.1,4.8
51073,Gloucester County,37035,18278,18757,3.3,85.1,8.2,0.2,0.5,0.0,29301,63881,2572,8.7,12.1,30.4,18.0,22.7,14.7,14.2,83.8,9.4,0.4,0.4,2.2,3.8,32.9,17770,75.1,19.3,5.4,0.2,3.3
51075,Goochland County,22148,10897,11251,2.6,77.6,16.4,0.2,1.2,0.0,17779,86652,4868,5.3,6.1,43.3,14.7,23.7,9.8,8.5,84.7,7.8,0.4,0.6,0.9,5.6,31.1,10561,79.3,13.0,7.4,0.3,3.4
51077,Grayson County,15708,7875,7833,3.1,90.8,3.8,0.3,0.2,0.0,12771,32048,2185,20.2,36.0,23.1,19.2,22.3,11.3,24.2,83.0,9.5,0.9,3.0,0.7,2.8,27.8,6509,78.2,16.3,5.2,0.3,7.4
51079,Greene County,19213,9387,9826,5.7,83.3,5.9,0.2,1.3,0.0,14008,62952,3813,9.4,11.5,38.7,18.5,23.7,11.8,7.2,80.2,11.9,0.8,0.4,1.9,4.8,31.2,9209,73.0,18.9,7.9,0.1,6.3
51081,Greensville County,11606,7238,4368,3.9,37.1,57.5,0.1,0.1,0.0,9459,42121,5250,17.0,24.9,19.9,25.5,24.0,9.1,21.4,83.3,8.7,0.7,0.4,6.1,0.9,22.9,4012,75.4,21.0,3.5,0.0,5.7
51083,Halifax County,35030,16505,18525,2.0,59.8,35.7,0.3,0.7,0.0,27426,39233,2600,18.7,25.7,27.6,19.2,22.3,10.7,20.2,83.2,7.2,0.3,1.1,5.1,3.1,25.3,14426,76.1,17.1,6.5,0.3,4.9
51085,Hanover County,103218,50653,52565,2.8,84.4,9.0,0.1,1.5,0.0,78580,84955,2275,5.8,8.3,45.4,13.8,24.9,8.9,7.1,83.8,5.5,0.3,1.6,1.9,6.9,26.1,54324,78.9,16.5,4.4,0.1,3.4
51087,Henrico County,324073,153299,170774,5.4,54.2,29.3,0.2,8.0,0.0,230879,66447,1191,10.4,16.3,44.4,15.4,26.1,5.8,8.3,82.9,9.2,1.1,0.9,0.7,5.2,22.3,168806,80.2,15.7,4.0,0.1,5.8
51089,Henry County,51956,25038,26918,5.2,70.3,21.7,0.1,0.7,0.0,40672,36779,1679,19.2,32.3,26.6,17.2,25.8,9.6,20.8,87.3,8.6,0.6,0.3,0.9,2.3,23.6,20659,79.8,16.0,3.9,0.3,8.7
51091,Highland County,2213,1020,1193,0.0,99.4,0.0,0.3,0.0,0.0,1929,45094,4452,10.6,13.5,28.4,15.1,26.6,23.1,6.7,72.7,10.3,0.0,12.8,0.0,4.2,22.5,905,62.0,29.2,8.8,0.0,0.5
51093,Isle of Wight County,36090,17651,18439,2.8,70.8,22.3,0.3,0.8,0.1,28186,67767,3199,10.3,17.1,36.9,14.9,22.8,13.5,11.9,88.7,6.9,0.2,0.5,0.5,3.2,29.2,17338,76.8,19.4,3.7,0.0,7.0
51095,James City County,73028,35265,37763,5.4,75.9,12.9,0.1,2.5,0.0,56500,80772,3757,7.5,9.8,44.9,18.3,23.2,6.5,7.1,82.1,8.4,0.8,1.2,1.2,6.3,25.0,33064,75.0,20.3,4.7,0.1,4.9
51097,King and Queen County,7052,3524,3528,3.2,66.1,25.8,0.6,0.0,0.0,5590,51495,9813,15.6,35.3,27.7,20.5,17.4,18.7,15.6,82.7,7.1,0.2,0.4,3.9,5.7,34.6,3157,74.8,18.9,6.3,0.0,4.4
