CountyId,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomeErr,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
53001,Adams County,19261,9750,9511,62.3,35.2,0.3,0.4,1.0,0.0,8899,48131,5933,867,23.1,31.6,22.8,13.9,14.1,29.2,19.9,71.3,18.6,0.2,2.2,1.9,5.7,17.8,7757,81.2,14.6,3.8,0.3,5.9
53003,Asotin County,22259,10594,11665,3.6,91.2,0.4,0.9,0.9,0.1,17464,47483,4845,1076,13.5,19.2,30.0,19.5,27.3,11.1,12.1,81.1,9.0,0.3,2.6,2.8,4.1,15.4,9824,78.6,16.1,5.2,0.1,6.7
53005,Benton County,190529,95438,95091,20.8,71.6,1.4,0.6,2.5,0.1,128595,63001,1568,603,13.4,19.8,39.4,16.3,21.2,11.3,11.8,81.2,10.7,1.0,1.7,1.1,4.2,21.8,85352,78.4,17.3,4.3,0.1,6.0
53007,Chelan County,75138,37352,37786,27.5,68.3,0.4,0.9,0.9,0.1,52088,54975,2156,1028,12.8,17.3,30.4,19.6,21.4,15.4,13.2,76.9,8.6,1.2,3.7,2.7,6.8,18.6,34063,76.2,16.2,7.4,0.2,5.8
53009,Clallam County,73439,36389,37050,6.0,83.3,1.1,4.4,1.5,0.1,58982,48002,1653,935,17.1,29.1,30.2,23.3,24.2,11.0,11.2,77.9,9.5,1.1,3.5,2.4,5.6,21.2,28027,68.4,22.9,8.6,0.2,8.8
53011,Clark County,457474,226178,231296,9.0,79.4,1.8,0.5,4.4,0.7,323897,67832,868,525,10.3,13.4,36.3,17.0,23.7,9.6,13.5,79.2,8.8,2.2,1.9,1.3,6.6,26.4,213776,80.5,13.4,5.9,0.2,6.2
53013,Columbia County,3999,1956,2043,7.4,86.5,0.5,0.5,2.5,0.8,3127,46250,5936,2657,14.5,16.9,33.8,18.1,25.2,13.6,9.3,64.6,11.6,1.7,12.7,4.1,5.3,22.6,1628,60.3,27.0,12.4,0.3,7.9
53015,Cowlitz County,103590,51079,52511,8.6,84.3,0.7,1.0,1.3,0.2,77551,49804,1607,750,16.9,22.4,27.7,19.4,21.3,12.8,18.8,79.2,12.3,0.2,2.3,1.3,4.8,24.6,42579,79.2,14.1,6.4,0.3,8.4
53017,Douglas County,40585,20382,20203,30.9,64.9,0.2,0.8,0.7,0.1,25965,55805,2603,890,13.7,19.1,26.6,17.7,23.5,20.3,11.9,81.2,6.7,0.8,2.9,5.0,3.3,18.2,18297,77.4,16.2,6.1,0.3,3.9
53019,Ferry County,7568,3911,3657,4.3,73.6,0.1,13.6,1.0,0.7,6107,41081,2040,1541,21.2,24.8,37.0,16.7,20.0,15.4,11.0,65.1,15.7,0.2,8.8,1.5,8.7,22.2,2465,47.5,41.5,9.5,1.6,9.5
53021,Franklin County,89124,46383,42741,52.5,41.1,2.0,0.4,2.1,0.1,45396,60275,1817,694,15.9,23.7,25.6,17.6,18.0,22.1,16.7,81.2,13.3,0.6,0.9,0.7,3.4,21.5,38844,81.5,13.5,4.8,0.1,5.8
53023,Garfield County,2226,1118,1108,2.4,91.8,0.0,0.2,1.8,0.0,1686,51399,4518,2306,11.7,18.2,33.7,19.9,23.7,9.5,13.2,74.5,15.9,0.0,2.8,0.7,6.2,20.0,934,51.0,32.9,16.2,0.0,7.2
53025,Grant County,93420,47166,46254,40.7,54.9,0.7,1.0,1.0,0.1,52283,52382,1805,832,15.9,20.7,27.8,16.0,16.6,26.1,13.5,72.8,13.8,2.1,2.9,2.2,6.2,18.9,39432,78.3,17.1,4.4,0.1,6.9
53027,Grays Harbor County,71454,36786,34668,9.8,79.9,1.0,4.1,1.6,0.3,54694,45483,2355,827,16.0,21.7,28.5,23.6,22.9,11.5,13.5,76.9,12.5,0.9,2.2,1.1,6.4,25.8,27104,69.7,23.1,6.9,0.3,10.1
53029,Island County,80323,40020,40303,7.1,80.1,3.1,1.1,4.5,0.3,63369,61516,1663,970,9.5,14.3,34.6,19.2,22.0,12.1,12.1,73.1,10.6,2.6,4.4,2.3,7.1,27.8,32230,68.4,22.8,8.5,0.3,6.7
53031,Jefferson County,30524,14981,15543,3.5,88.7,0.5,1.9,1.8,0.2,25898,51842,3291,2072,12.8,20.2,35.4,21.9,22.2,12.8,7.7,76.3,6.0,1.9,4.6,3.1,8.1,23.5,11289,69.6,18.9,11.4,0.1,7.5
53033,King County,2118119,1058695,1059424,9.5,61.4,6.0,0.5,16.5,0.8,1459791,83571,617,363,10.2,12.3,51.0,15.0,19.9,5.5,8.5,63.0,9.6,13.1,5.1,2.7,6.5,29.1,1140353,82.0,12.0,5.8,0.2,5.0
53035,Kitsap County,258903,132104,126799,7.3,77.4,2.5,0.9,4.7,0.7,199599,68336,1336,521,9.9,12.1,38.9,18.8,21.3,10.4,10.5,68.7,8.1,9.3,5.1,2.7,6.1,30.3,112032,65.0,28.0,6.8,0.2,5.7
53037,Kittitas County,43726,22039,21687,8.6,84.4,1.0,0.6,1.9,0.2,34565,53163,1678,1010,19.6,11.9,33.0,22.4,21.8,12.0,10.9,72.6,9.2,0.8,9.7,2.6,5.1,21.3,20901,66.7,26.4,6.6,0.3,5.3
