CountyId,State,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
54001,West Virginia,Barbour County,16790,8165,8625,0.9,95.7,0.9,0.4,0.7,0.0,13382,37516,2726,20762,1663,22.5,32.5,26.3,21.7,23.7,15.9,12.5,78.3,11.9,0.3,4.5,1.4,3.8,29.2,6421,79.8,16.0,4.1,0.1,8.9
54003,West Virginia,Berkeley County,111610,54961,56649,4.0,84.6,7.2,0.1,1.1,0.1,83250,59480,2334,27658,749,13.0,18.8,33.9,17.2,24.3,9.5,15.0,82.6,11.6,0.8,1.0,0.2,3.8,31.2,52254,74.2,21.8,3.7,0.2,8.3
54005,West Virginia,Boone County,23236,11530,11706,0.6,97.8,0.8,0.0,0.2,0.0,18103,37955,2690,20992,1091,24.4,38.5,24.4,22.3,22.0,18.5,12.8,86.8,7.1,0.0,2.6,1.2,2.3,32.9,7030,79.5,16.8,3.6,0.0,10.6
54007,West Virginia,Braxton County,14345,7172,7173,1.0,97.1,0.3,0.1,0.0,0.2,11430,41266,3577,20633,1176,22.1,33.6,28.5,18.1,26.2,13.1,14.1,79.6,8.5,0.1,1.6,5.5,4.8,30.2,5320,77.7,16.9,4.7,0.7,15.3
54009,West Virginia,Brooke County,23067,11287,11780,0.9,95.8,1.7,0.0,0.4,0.2,18722,48835,2697,25630,1124,13.0,21.6,30.9,22.4,21.2,12.5,13.0,85.8,6.0,0.3,4.7,0.5,2.7,26.1,10404,79.7,15.8,4.5,0.0,3.5
54011,West Virginia,Cabell County,96100,47121,48979,1.4,90.1,4.9,0.1,1.3,0.0,76234,37816,1731,24646,976,23.2,29.8,36.5,20.7,26.9,6.1,9.8,82.6,7.4,1.3,3.8,2.0,2.9,20.5,39455,80.5,15.8,3.7,0.1,5.5
54013,West Virginia,Calhoun County,7450,3689,3761,1.3,97.3,0.0,0.1,0.0,0.0,5962,36279,5907,19696,1919,17.1,22.5,31.6,12.8,20.9,21.2,13.6,83.2,12.1,0.4,2.2,1.2,1.0,33.1,2284,78.5,18.3,2.1,1.1,14.5
54015,West Virginia,Clay County,8901,4443,4458,0.3,97.7,0.0,0.5,0.0,0.1,6871,34242,4957,16229,1461,25.2,24.5,24.6,22.3,15.3,19.2,18.7,73.1,21.0,0.7,1.3,0.6,3.3,45.1,2516,71.9,23.1,4.4,0.7,10.8
54017,West Virginia,Doddridge County,8570,4641,3929,0.4,95.7,1.4,0.1,0.3,0.0,7049,44437,6711,21164,1950,14.9,13.6,25.4,18.5,23.9,21.5,10.7,77.2,14.6,0.0,1.6,3.9,2.6,31.6,2843,75.1,18.5,6.4,0.0,6.5
54019,West Virginia,Fayette County,44602,22404,22198,1.1,92.5,5.1,0.3,0.1,0.0,35083,39297,2432,20758,947,20.0,28.4,28.7,20.5,25.1,14.1,11.6,81.4,9.4,0.2,3.1,4.0,1.9,28.2,16147,74.8,21.5,3.5,0.1,8.4
