CountyId,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomeErr,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
55001,Adams County,20111,10770,9341,3.8,90.7,2.7,0.6,0.5,0.0,16837,44003,1500,1297,13.0,23.3,23.6,22.7,21.8,12.5,19.4,78.5,12.2,0.1,1.5,1.7,6.0,28.3,7530,80.7,11.9,7.3,0.2,8.1
55003,Ashland County,15779,7954,7825,2.6,82.7,0.4,10.6,0.4,0.0,12169,41505,2162,1091,14.6,20.4,31.2,23.5,20.4,10.0,14.9,74.2,10.5,1.2,8.4,1.3,4.4,16.5,7366,76.3,17.1,6.6,0.0,7.2
55005,Barron County,45358,22759,22599,2.4,93.8,1.2,0.8,0.7,0.0,35066,49257,1664,981,11.5,16.2,28.9,16.2,19.2,12.1,23.5,80.2,7.5,0.2,4.1,1.5,6.3,19.6,22255,80.0,11.1,8.6,0.3,3.6
55007,Bayfield County,15004,7642,7362,1.7,85.0,0.6,10.0,0.5,0.0,12246,50110,1435,849,11.0,18.4,36.0,20.4,18.5,13.9,11.3,75.8,10.3,2.2,4.0,1.1,6.5,23.8,6994,67.5,21.5,10.6,0.5,5.5
55009,Brown County,258004,128020,129984,8.3,81.6,2.2,2.2,3.1,0.0,186738,56775,1211,581,11.3,15.5,34.3,16.1,24.9,8.3,16.4,83.4,7.8,0.7,2.3,1.7,4.0,19.1,134015,85.5,10.1,4.3,0.1,4.4
55011,Buffalo County,13243,6740,6503,2.2,95.9,0.5,0.3,0.0,0.0,10326,54753,1560,878,10.7,14.9,30.5,14.8,19.7,14.3,20.7,78.2,10.6,0.2,3.1,1.5,6.4,25.1,6826,79.5,9.9,10.2,0.3,3.5
55013,Burnett County,15239,7798,7441,1.7,90.6,0.5,4.1,0.3,0.0,12409,45891,1629,928,14.6,21.3,29.1,20.4,19.9,13.6,16.9,78.4,10.7,0.2,2.9,0.9,7.0,27.0,6535,75.1,15.5,9.0,0.4,5.1
55015,Calumet County,49737,24812,24925,4.1,91.4,0.8,0.6,2.2,0.0,36855,70662,2590,991,5.9,8.4,34.9,12.4,23.9,8.5,20.2,86.7,6.8,0.2,1.1,1.0,4.2,20.2,27483,86.2,9.4,4.2,0.2,2.0
55017,Chippewa County,63445,33015,30430,1.7,93.9,1.3,0.2,1.3,0.0,48783,55240,2037,642,10.7,13.9,30.0,16.7,20.5,11.0,21.8,82.0,8.4,0.1,2.3,1.2,6.0,21.9,31454,81.8,10.4,7.4,0.3,3.7
55019,Clark County,34513,17507,17006,4.4,93.5,0.4,0.2,0.4,0.0,23756,49131,1189,535,13.2,18.5,27.9,14.5,17.3,15.1,25.2,73.1,8.2,0.0,4.4,2.9,11.5,21.1,15796,76.4,8.4,14.4,0.8,3.3
55021,Columbia County,56790,29007,27783,3.1,93.1,1.3,0.4,0.6,0.0,43693,63293,1519,666,8.3,11.3,32.6,15.7,23.0,11.6,17.1,82.1,9.8,0.2,2.2,1.3,4.5,25.7,30041,79.2,14.9,5.6,0.3,3.8
55023,Crawford County,16313,8469,7844,1.3,94.9,1.7,0.4,0.5,0.0,12833,47331,2123,968,13.0,19.4,27.1,17.9,20.7,11.9,22.4,81.7,8.8,0.4,3.2,1.4,4.5,22.6,7530,77.6,14.2,8.1,0.1,4.1
55025,Dane County,522837,259686,263151,6.3,80.2,5.0,0.2,5.6,0.0,388117,67631,931,371,12.4,12.0,49.9,15.5,21.1,5.3,8.1,72.7,7.9,5.5,5.6,3.6,4.8,21.0,297072,74.9,20.7,4.3,0.1,3.8
55027,Dodge County,87833,46032,41801,4.6,90.3,2.4,0.6,0.5,0.0,68608,56038,1504,555,8.8,11.5,26.3,16.1,21.1,10.9,25.6,84.3,7.6,0.1,3.0,1.2,3.9,23.1,44063,83.8,10.2,5.7,0.3,4.8
55029,Door County,27443,13602,13841,2.9,94.3,0.5,0.5,0.5,0.0,22609,56494,1484,1074,8.4,9.3,33.1,16.7,21.9,10.9,17.4,80.9,7.2,0.4,4.0,1.5,6.0,18.2,13419,79.7,11.4,8.6,0.3,4.6
55031,Douglas County,43503,21734,21769,1.5,91.9,1.2,1.7,1.0,0.0,34319,50730,1644,780,14.2,17.0,31.7,21.0,22.5,9.5,15.3,79.6,9.8,1.6,3.5,1.6,3.9,22.3,21594,82.3,13.4,4.2,0.2,5.6
55033,Dunn County,44260,22296,21964,1.8,93.1,0.5,0.2,2.5,0.0,34818,54605,2455,960,12.8,12.7,32.3,17.2,22.3,9.8,18.5,77.1,7.1,0.2,7.6,1.6,6.4,22.9,22972,79.4,13.4,7.0,0.2,4.7
55035,Eau Claire County,102388,50371,52017,2.3,90.6,0.8,0.4,3.5,0.4,79895,52178,1737,705,14.5,13.4,34.5,18.9,24.8,6.6,15.3,80.0,8.2,0.9,3.8,1.3,6.0,18.4,55778,81.7,12.9,5.3,0.2,4.0
55037,Florence County,4354,2260,2094,0.9,98.5,0.3,0.0,0.0,0.0,3630,47827,4848,2617,8.4,7.7,27.9,19.0,22.4,12.3,18.4,90.6,3.1,0.4,0.5,1.3,4.1,19.7,1949,77.7,15.1,6.9,0.4,6.4
