CountyId,State,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
56001,Wyoming,Albany County,37944,19883,18061,9.3,82.9,1.3,0.7,2.9,0.0,30057,45816,1840,26034,1146,23.0,11.8,42.1,20.8,19.2,10.1,7.8,70.1,9.7,2.1,8.8,4.7,4.7,12.7,21115,61.4,32.8,5.7,0.1,4.8
56003,Wyoming,Big Horn County,11920,6015,5905,8.8,88.2,0.6,0.9,0.4,0.1,8636,51716,3372,23724,1150,13.0,13.8,29.5,18.5,19.2,18.4,14.4,74.8,9.8,0.0,7.2,2.2,6.0,18.8,5280,71.8,19.7,8.1,0.4,4.7
56005,Wyoming,Campbell County,48116,25001,23115,8.4,87.7,0.3,0.8,0.5,0.0,33763,80178,3568,33200,1423,9.4,12.6,26.5,14.2,21.7,22.6,15.0,80.0,10.2,2.5,1.9,1.9,3.6,20.7,25511,80.1,14.8,4.9,0.2,4.6
56007,Wyoming,Carbon County,15689,8456,7233,17.9,77.7,1.2,1.5,0.7,0.1,11330,57644,3404,27797,1270,13.3,14.3,30.7,19.4,16.6,16.6,16.7,81.5,9.1,0.4,3.5,1.4,4.1,16.3,7519,70.3,24.9,4.3,0.4,3.4
56009,Wyoming,Converse County,14166,7279,6887,7.8,91.3,0.0,0.1,0.0,0.0,10446,62776,5189,31948,2301,8.0,8.1,28.0,16.5,21.2,21.4,12.8,77.0,8.2,4.1,2.9,1.6,6.2,23.8,6902,74.5,17.8,7.6,0.2,5.8
56011,Wyoming,Crook County,7347,3760,3587,2.3,94.5,0.2,1.4,0.3,0.0,5501,66944,6637,34186,3391,5.1,1.7,29.0,11.2,20.4,20.3,19.1,69.1,10.0,0.8,4.0,2.6,13.4,28.0,3613,73.0,16.4,10.5,0.2,3.6
56013,Wyoming,Fremont County,40354,20206,20148,6.8,70.1,0.5,19.6,0.1,0.1,29888,55013,2341,27220,897,13.7,19.1,33.5,20.7,19.4,14.8,11.5,75.2,10.5,0.5,4.0,3.1,6.6,17.9,18674,61.3,28.9,9.2,0.6,6.0
56015,Wyoming,Goshen County,13479,6967,6512,10.6,86.2,0.1,0.9,0.4,0.0,10483,48422,4319,27253,2127,13.2,19.5,34.0,21.0,16.0,14.0,14.9,79.1,8.9,0.1,3.6,1.7,6.6,18.7,6122,66.5,21.9,11.0,0.6,6.5
56017,Wyoming,Hot Springs County,4741,2404,2337,1.9,94.5,0.0,2.3,0.0,0.0,3777,48403,5666,30939,3147,12.5,21.2,40.1,19.0,19.5,12.1,9.3,70.3,13.5,0.7,7.8,0.5,7.2,19.6,2290,68.2,21.3,10.0,0.5,4.1
56019,Wyoming,Johnson County,8562,4548,4014,2.1,91.7,1.4,2.7,0.0,0.0,6575,52415,5267,32732,4167,9.9,11.6,32.8,18.9,19.4,16.9,12.1,71.1,16.2,0.2,1.9,2.8,7.7,24.6,4267,64.9,21.5,11.6,2.0,4.3
